Title,Price,Area,Location,type
"CHO THUÊ NHÀ XƯỞNG TẠI KHU CÔNG NGHIỆP QUANG CHÂU, VIỆT YÊN, BẮC GIANG",Giá thỏa thuận,40.610 m²,"·
Việt Yên, Bắc Giang",cho-thue-kho-nha-xuong-dat
"ƯU ĐÃI 2024 CHO THUÊ KHO TẠI KCN TÂN KIM MỞ RỘNG TRANG BỊ ĐẦY ĐỦ PCCC, HỆ THỐNG AN NINH ĐẠT CHUẨN",Giá thỏa thuận,104.700 m²,"·
Cần Giuộc, Long An",cho-thue-kho-nha-xuong-dat
"Chính chủ cho thuê nhà xưởng có diện tích từ 3,000 - 15,000 m2 tại TP. Hưng Yên, Tỉnh Hưng Yên",52 nghìn/m²,15.000 m²,"Hưng Yên, Hưng Yên",cho-thue-kho-nha-xuong-dat
"Kho xưởng xây sẵn cho thuê tại trung tâm Quận 7, TP. HCM",Giá thỏa thuận,50.000 m²,"Quận 7, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Công ty cho thuê kho trong Khu Công Nghiệp Tân Bình, Q. Tân Phú, Tp. HCM",Giá thỏa thuận,150 m²,"Tân Phú, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho có sẵn PCCC tự động tại KCN Vĩnh Lộc, Tp. HCM, có Bảo vệ 24/24h",100 nghìn/m²,250 m²,"Bình Chánh, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Chính chủ cho thuê kho xưởng mới xây tại KCN Nam Sơn Hạp Lĩnh, Bắc Ninh. LH: 0949 187 ***",Giá thỏa thuận,32.136 m²,"Bắc Ninh, Bắc Ninh",cho-thue-kho-nha-xuong-dat
"Chính chủ cho thuê kho xưởng mới xây KCN Dầu Giây Đồng Nai DT 2000 - 10000m2, LH: 0949 187 ***",Giá thỏa thuận,11.445 m²,"Thống Nhất, Đồng Nai",cho-thue-kho-nha-xuong-dat
"Kho riêng (tự quản), kho chung có thủ kho quản lý và nhà xưởng từ: 5m2 đến 50,000m2 giá 60,000đ/m2",50 nghìn/m²,1.000 m²,"Quận 7, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Chính chủ cho thuê kho xưởng đẹp mới 220m2 KDC Vĩnh Phú 1, gần chờ đầu mối Thủ Đức",Giá thỏa thuận,220 m²,"Thuận An, Bình Dương",cho-thue-kho-nha-xuong-dat
"Chính chủ cho thuê kho 2000m2, đường xe công 24h - vòng xoay An Lạc",170 triệu/tháng,2.000 m²,"Bình Chánh, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho độc lập tại KCN Sài Đồng B, Long Biên",Giá thỏa thuận,2.500 m²,"Long Biên, Hà Nội",cho-thue-kho-nha-xuong-dat
Cho thuê 17.000m2 nhà xưởng trong KCN Bắc Ninh,Giá thỏa thuận,17.000 m²,"Quế Võ, Bắc Ninh",cho-thue-kho-nha-xuong-dat
"Cho thuê nhà xưởng xây dựng theo yêu cầu đảm bảo PCCC nghiệm thu tại KCN Liên Hà 2, Đông Anh Hà Nội",80 nghìn/m²,5.000 m²,"Đông Anh, Hà Nội",cho-thue-kho-nha-xuong-dat
Cho thuê nhà máy - showroom trưng bày mặt tiền hơn 30m,180 triệu/tháng,3.100 m²,"Bình Chánh, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho tại KCN Bàu Xéo, Trảng Bom, Đồng Nai (5000 - 10.000 m2) - JSC Việt Nam",Giá thỏa thuận,5.000 m²,"Trảng Bom, Đồng Nai",cho-thue-kho-nha-xuong-dat
Cho thuê kho xưởng giá ưu đãi tại Trần Vỹ-Mai Dịch - Hà Nội,Giá thỏa thuận,160 m²,"Cầu Giấy, Hà Nội",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng chính chủ mới xây tại tỉnh Hưng Yên, LH 0949 187 ***, Mỹ Hào - KCN Phố Nối",Giá thỏa thuận,25.500 m²,"Mỹ Hào, Hưng Yên",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng chính chủ mới xây tại cụm KCN Kiến Thành, Cần Đước, tỉnh Long An, 0949 187 ***",Giá thỏa thuận,8.630 m²,"Cần Đước, Long An",cho-thue-kho-nha-xuong-dat
"Chính chủ cho thuê đất mặt tiền đường 30/4, Phường Rạch Dừa, Vũng Tàu",Giá thỏa thuận,400 m²,"Vũng Tàu, Bà Rịa Vũng Tàu",cho-thue-kho-nha-xuong-dat
cho thuê tầng hầm sẵn máy lạnh chỉ 11tr/tháng tại sala,11 triệu/tháng,30 m²,"Quận 2, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
Cho thuê nhà xưởng tại Tứ Hiệp - Thanh Trì,20 triệu/tháng,550 m²,"Thanh Trì, Hà Nội",cho-thue-kho-nha-xuong-dat
"Cho thuê nhà xưởng trong KCN Trảng Bom, Đồng Nai",82 nghìn/m²,6.000 m²,"Trảng Bom, Đồng Nai",cho-thue-kho-nha-xuong-dat
Cho thuê kho xưởng tại xã Vĩnh Hoà Phú Giáo Bình Dương,41 nghìn/m²,6.000 m²,"Phú Giáo, Bình Dương",cho-thue-kho-nha-xuong-dat
"Cho thuê đất công nghiệp, nhà xưởng tại KCN Cầu Cảng Phước Đông, diện tích linh hoạt từ 800m2",Giá thỏa thuận,800 m²,"Cần Đước, Long An",cho-thue-kho-nha-xuong-dat
"Đất cho thuê khu vực đông dân Phước Kiểng, Nhà Bè, gần trường cấp 1 công viên thuận tiện kinh doanh",6 triệu/tháng,100 m²,"Nhà Bè, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cần cho thuê kho, xưởng diện tích 200 - 300 - 600m2 tại Phú Thị - Gia Lâm",Giá thỏa thuận,500 m²,"Gia Lâm, Hà Nội",cho-thue-kho-nha-xuong-dat
Chính chủ cho thuê kho xưởng diện tích: 150m2 - 900m2 Khu Ngã Tư Trôi - mặt đường QL32,Giá thỏa thuận,900 m²,"Hoài Đức, Hà Nội",cho-thue-kho-nha-xuong-dat
Chính chủ cho thuê kho xưởng giá tốt 300 - 500m2 La Phù - An Khánh Hoài Đức. LH: 0389 711 ***,65 nghìn/m²,500 m²,"Hoài Đức, Hà Nội",cho-thue-kho-nha-xuong-dat
Cho thuê tầng hầm có sẵn máy lạnh giá chỉ 11tr/tháng Sari Town KDT Sala,11 triệu/tháng,30 m²,"Quận 2, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho chứa hàng diện tích tùy chọn, kho có sẵn PCCC tự động, an toàn bảo vệ 24/24h",100 nghìn/m²,250 m²,"Bình Tân, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
