City,District,Ward,area_value,price_value_trieu,price_per_m2_final
Trà Vinh,Trà Vinh,Phường 4,24.0,9.0,375000.0
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,500.0,245.0,490000.0
Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,550.0,40.0,72727.27272727272
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 1,100.0,50.0,500000.0
Hà Nội,Thanh Xuân,Nhân Chính,175.0,85.0,485714.28571428574
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,3.2,100.0,31250000.0
Hà Nội,Hà Đông,Mộ Lao,310.0,150.0,483870.96774193546
Hà Nội,Nam Từ Liêm,Cầu Diễn,460.0,129.99999999999997,282608.6956521739
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,200.0,100.0,500000.0
Hà Nội,Ba Đình,Giảng Võ,127.0,90.0,708661.4173228346
Hà Nội,Gia Lâm,Đa Tốn,90.0,75.0,833333.3333333334
Hà Nội,Cầu Giấy,Trung Hòa,1.5,350.0,233333333.3333333
Hà Nội,Tây Hồ,Thụy Khuê,500.0,100.0,200000.0
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 1,220.0,250.00000000000003,1136363.6363636365
Hà Nội,Ba Đình,Giảng Võ,280.0,932.0,3328571.4285714286
Hà Nội,Cầu Giấy,Yên Hòa,700.0,140.0,200000.0
Hà Nội,Long Biên,Gia Thụy,500.0,320.0,640000.0
Hà Nội,Đống Đa,Ngã Tư Sở,720.0,280.0,388888.8888888889
Hà Nội,Cầu Giấy,Trung Hòa,175.0,145.0,828571.4285714285
Hà Nội,Hà Đông,La Khê,7.0,200.0,28571428.57142857
Hà Nội,Long Biên,Ngọc Lâm,1.2,160.0,133333333.33333334
Hà Nội,Hà Đông,Dương Nội,80.0,18.0,225000.0
Hà Nội,Hoài Đức,An Khánh,100.0,9.0,90000.0
Hưng Yên,Văn Giang,Nghĩa Trụ,100.0,10.0,100000.0
Hà Nội,Long Biên,Thượng Thanh,40.0,10.0,250000.0
Hà Nội,Long Biên,Phúc Lợi,45.0,5.0,111111.11111111112
Hà Nội,Long Biên,Thạch Bàn,128.0,14.0,109375.0
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,480.0,60.0,125000.0
Hà Nội,Cầu Giấy,Quan Hoa,35.0,6.5,185714.2857142857
Hà Nội,Cầu Giấy,Trung Hòa,50.0,25.9,518000.0
Hà Nội,Đống Đa,Kim Liên,80.0,13.0,162500.0
Hà Nội,Cầu Giấy,Nghĩa Đô,850.0,250.00000000000003,294117.64705882355
Bà Rịa Vũng Tàu,Phú Mỹ,Phú Mỹ,198.0,9.0,45454.545454545456
Bình Định,Quy Nhơn,Nguyễn Văn Cừ,125.0,25.0,200000.0
Hà Nội,Cầu Giấy,Dịch Vọng,500.0,250.0,500000.0
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,500.0,300.0,600000.0
Hà Nội,Cầu Giấy,Trung Hòa,500.0,100.0,200000.0
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,500.0,100.0,200000.0
Hà Nội,Cầu Giấy,Trung Hòa,400.0,200.0,500000.0
Hà Nội,Tây Hồ,Phú Thượng,500.0,150.0,300000.0
Hà Nội,Hai Bà Trưng,Bạch Đằng,10.0,100.0,10000000.0
Hà Nội,Hai Bà Trưng,Bạch Đằng,5.0,100.0,20000000.0
Hà Nội,Đống Đa,Kim Liên,1.0,300.0,300000000.0
Hà Nội,Ba Đình,Giảng Võ,1.0,300.0,300000000.0
Hà Nội,Cầu Giấy,Yên Hòa,1.0,300.0,300000000.0
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,1.0,200.0,200000000.0
Bình Dương,Thuận An,Thuận Giao,200.0,20.0,100000.0
Hà Nội,Hoàn Kiếm,Hàng Bạc,200.0,250.0,1250000.0
Hà Nội,Đống Đa,Láng Thượng,1.0,200.0,200000000.0
Hà Nội,Hà Đông,La Khê,500.0,150.0,300000.0
Hà Nội,Thanh Xuân,Thượng Đình,500.0,150.0,300000.0
Hà Nội,Cầu Giấy,Mai Dịch,1.0,200.0,200000000.0
Hà Nội,Cầu Giấy,Mai Dịch,200.0,100.0,500000.0
Hà Nội,Thanh Xuân,Nhân Chính,3.5,400.0,114285714.28571428
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,300.0,200.0,666666.6666666666
Hà Nội,Hoàn Kiếm,Tràng Tiền,100.0,200.0,2000000.0
Hà Nội,Đống Đa,Láng Hạ,1.0,200.0,200000000.0
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,500.0,200.0,400000.0
Hà Nội,Cầu Giấy,Dịch Vọng,1.0,200.0,200000000.0
Hà Nội,Cầu Giấy,Trung Hòa,1.0,200.0,200000000.0
Hà Nội,Cầu Giấy,Dịch Vọng,500.0,100.0,200000.0
Hà Nội,Ba Đình,Giảng Võ,200.0,100.0,500000.0
Hà Nội,Hoàn Kiếm,Tràng Tiền,200.0,200.0,1000000.0
Hà Nội,Cầu Giấy,Yên Hòa,30.0,20.0,666666.6666666666
Hà Nội,Thanh Xuân,Nhân Chính,4.5,350.0,77777777.77777778
Hà Nội,Cầu Giấy,Yên Hòa,2.0,600.0,300000000.0
Hà Nội,Hoàn Kiếm,Tràng Tiền,251.0,150.0,597609.561752988
Cần Thơ,Ninh Kiều,Xuân Khánh,112.0,35.0,312500.0
Đắk Lắk,Buôn Ma Thuột,Ea Tam,200.0,4.5,22500.0
Đồng Nai,Biên Hòa,Tam Hòa,900.0,70.0,77777.77777777778
Đồng Nai,Biên Hòa,Tân Mai,1.2,79.0,65833333.333333336
Bà Rịa Vũng Tàu,Vũng Tàu,Thắng Tam,162.0,15.000000000000002,92592.5925925926
Hà Nội,Hoàng Mai,Định Công,890.0,235.0,264044.9438202247
Hải Phòng,Hồng Bàng,Hạ Lý,105.0,25.0,238095.2380952381
Hà Nội,Đống Đa,Láng Thượng,90.0,18.9,210000.0
Hà Nội,Thanh Trì,Tứ Hiệp,47.0,17.0,361702.1276595744
Hà Nội,Hà Đông,Hà Cầu,400.0,145.0,362500.0
Hà Nội,Đống Đa,Cát Linh,40.0,12.0,300000.0
Hà Nội,Hoàng Mai,Hoàng Văn Thụ,40.0,19.0,475000.0
Hồ Chí Minh,Thủ Đức,Trường Thọ,152.0,19.0,125000.0
Hồ Chí Minh,Thủ Đức,Linh Tây,56.0,11.0,196428.57142857145
Hà Nội,Thanh Xuân,Khương Mai,60.0,6.0,100000.0
Hà Nội,Cầu Giấy,Yên Hòa,140.0,65.0,464285.7142857143
Hà Nội,Đống Đa,Trung Liệt,55.0,40.0,727272.7272727273
Hà Nội,Đống Đa,Láng Hạ,120.0,55.0,458333.3333333333
Hà Nội,Đống Đa,Cát Linh,80.0,25.0,312500.0
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,60.0,50.0,833333.3333333334
Hà Nội,Ba Đình,Thành Công,70.0,25.0,357142.8571428572
Hà Nội,Đống Đa,Ô Chợ Dừa,100.0,36.0,360000.0
Hà Nội,Đống Đa,Trung Liệt,60.0,45.0,750000.0
Hà Nội,Cầu Giấy,Yên Hòa,200.0,40.0,200000.0
Hà Nội,Đống Đa,Ô Chợ Dừa,210.0,40.0,190476.19047619047
Hà Nội,Đống Đa,Láng Thượng,630.0,120.0,190476.19047619047
Khánh Hòa,Nha Trang,Phước Hải,135.0,25.0,185185.1851851852
Khánh Hòa,Nha Trang,Phước Hải,135.0,22.0,162962.96296296295
Tây Ninh,Dương Minh Châu,Chà Là,90.0,3.5,38888.88888888889
Hà Nội,Ba Đình,Giảng Võ,50.0,7.0,140000.0
Hà Nội,Nam Từ Liêm,Cầu Diễn,700.0,185.0,264285.71428571426
Hà Nội,Thanh Xuân,Khương Mai,100.0,300.0,3000000.0
Hà Nội,Cầu Giấy,Yên Hòa,200.0,580.0,2900000.0
Hà Nội,Hoàng Mai,Tân Mai,120.0,20.0,166666.66666666666
Hà Nội,Thanh Trì,Tứ Hiệp,30.0,7.0,233333.3333333333
Hồ Chí Minh,Quận 7,Tân Phong,98.0,30.0,306122.44897959183
Hà Nội,Đông Anh,Đông Hội,150.0,21.0,140000.0
Hà Nội,Cầu Giấy,Dịch Vọng,100.0,2.0,20000.0
Bà Rịa Vũng Tàu,Vũng Tàu,Thắng Nhì,300.0,50.0,166666.66666666666
Hồ Chí Minh,Tân Phú,Tân Quý,300.0,55.0,183333.3333333333
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,105.0,39.0,371428.5714285714
Hà Nội,Cầu Giấy,Dịch Vọng,40.0,11.5,287500.0
