Title,Price,Area,address,type,area_value,price_value_trieu,price_per_m2_final,House_number,Street,Ward,District,City,progress,cleaned_street
"CHO THUÊ CỬA HÀNG, KI ỐT TẠI VIỆT NAM",Giá: 20 triệu/tháng,Diện tích: 225 m²,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,225.0,20.0,88888.88888888889,,Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7,Hồ Chí Minh,True,Đường Mai Văn Vĩnh
"CHO THUÊ 5X45M, 1 LẦU MẶT TIỀN MAI VĂN VĨNH, TÂN QUY",Giá: 55 triệu/tháng,Diện tích: 142 m²,"601, Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,142.0,55.0,387323.94366197183,601,Đường Nguyễn Duy Trinh,Phường Bình Trưng Đông,Thủ Đức,Hồ Chí Minh,True,Đường Nguyễn Duy Trinh
CHỦ GỬI NHÀ MẶT TIỀN 601 NGUYỄN DUY TRINH QUẬN 2. NGANG 8M GIÁ TL,Giá: 24 triệu/tháng,Diện tích: 300 m²,"Đường Cầu Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,300.0,24.0,80000.0,,Đường Cầu Diễn,Phường Phúc Diễn,Quận Bắc Từ Liêm,Hà Nội,True,Đường Cầu Diễn
CHO THUÊ 300M2 CÓ PCCC ĐƯỜNG 4 LÀN TRUNG TÂM BẮC TỪ LIÊM,Giá: 120 triệu,Diện tích: 260 m²,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,260.0,120.0,461538.4615384616,,Đường Nguyễn Thành Ý,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thành Ý
"CHO THUÊ BIỆT THỰ -12,5X20- MẶT TIỀN NGUYỄN THÀNH Ý, 3 TẦNG CHỈ 120TR",Giá: 4 triệu/tháng,Diện tích: 20 m²,"1486A, Đường 3/2, Phường 2, Quận 11, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,20.0,4.0,200000.0,1168/2,Đường 3 Tháng 2,Phường 12,Quận 11,Hồ Chí Minh,True,Đường Đường 3 Tháng 2
CHO THUÊ MẶT BẰNG VỈA HÈ MẶT TIỀN QUẬN 11,"Giá: 18,5 triệu/tháng",Diện tích: 49 m²,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,49.0,18.5,377551.02040816325,8E,Hẻm 575 Cách Mạng Tháng Tám,Phường 15,Quận 10,Hồ Chí Minh,True,Đường Cách Mạng Tháng Tám
NHÀ KINH DOANH HẼM XE HƠI CMT8-P15-Q10,Giá: 10 triệu/tháng,Diện tích: 70 m²,"Phường Tân Hưng, Quận 7, Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,70.0,10.0,142857.14285714287,,,Phường Tân Hưng,Quận 7,Hồ Chí Minh,True,Đường 
CHO THUÊ MẶT BẰNG TRUNG TÂM QUẬN 7 PHÙ HỢP VĂN PHÒNG KINH DOANH ĐA NGHỀ,Giá: 205 triệu,Diện tích: 528 m²,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,528.0,205.0,388257.57575757575,488,Đường Nguyễn Thị Minh Khai,Phường 2,Quận 3,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
"CHO THUÊ NHÀ MẶT TIỀN 488 NGUYỄN THỊ MINH KHAI, QUẬN 3",Giá: 700 triệu,Diện tích: 3200 m²,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,3200.0,700.0,218750.0,131-133,Đường Nguyễn Trãi,Phường 3,Quận 5,Hồ Chí Minh,True,Đường Nguyễn Trãi
"CHO THUÊ TOÀ NHÀ MẶT TIỀN 131-133 NGUYỄN TRÃI, QUẬN 5 ( 3.200M2 )",Giá: 22 triệu/tháng,Diện tích: 560 m²,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,560.0,22.0,39285.71428571428,,Đường Tỉnh 768B,Phường Trảng Dài,Biên Hòa,Đồng Nai,True,Đường Tỉnh 768B
