Title,Price,Area,Location,type
"CHO THUÊ NHÀ MẶT TIỀN ĐƯỜNG NGUYỄN ẢNH THỦ. PHƯỜNG HIỆP THÀNH, QUẬN 12",Giá: 90 triệu / tháng,"Diện tích: 235 m
2","Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",cho_thue_cua_hang
"CHO THUÊ NHÀ NGUYÊN CĂN ĐƯỜNG BACU,P1.T. VŨNG TÀU, GIÁ: 35 TR/THÁNG",Giá: 35 triệu / tháng,"Diện tích: 125 m
2","Đường Ba Cu, Phường 1, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",cho_thue_cua_hang
"Cho thuê nhà Lô góc Dương quảng hàm,oto để trong nhà, full đồ ở và làm vp, bán hàng online",Giá: 18 triệu / tháng,"Diện tích: 53 m
2","Phố Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",cho_thue_cua_hang
"Chính chủ cần cho thuê nhà mặt phố Quận Hai Bà Trưng, Hà Nội",Giá: 34 triệu / tháng,"Diện tích: 70 m
2","Đường Trương Định, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
Ký gửi cho thuê nhà nguyên căn mặt tiền đường Võ Văn Kiệt phường phú thủy Phan Thiết,Giá: 15 triệu / tháng,"Diện tích: 300 m
2","Đường Võ Văn Kiệt, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",cho_thue_cua_hang
"Cho thuê nhà MT Đồng Nai P.15 Q.10 DT:7,2mx12m 3 lầu giá 40tr/th",Giá: 40 triệu / tháng,"Diện tích: 219 m
2","Đường Đồng Nai, Phường 15, Quận 10, Hồ Chí Minh",cho_thue_cua_hang
"115m2 văn phòng tầng 1 tại nhà mặt phố Lê Trọng Tấn, Thanh Xuân. LH trực tiếp chủ nhà",Giá: 35 triệu / tháng,"Diện tích: 115 m
2","Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",cho_thue_cua_hang
Cho thuê tòa nhà VP quận 1 giá 9.000,Giá: 220 triệu / tháng,"Diện tích: 1.000 m
2","Đường Lý Văn Phức, Phường Tân Định, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Cho Thuê Nguyên Căn Nhà Mặt Phố Quang Trung 34m2, 3 tầng, mặt tiền 4m",Giá: 20 triệu / tháng,"Diện tích: 90 m
2","Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội",cho_thue_cua_hang
"H0T_RẺ_Cho thuê nhà 71m2 mặt tiền đường Lê Chân,Sơn Trà 6tr",Giá: 6 triệu / tháng,"Diện tích: 71 m
2","Đường Lê Chân, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",cho_thue_cua_hang
