Title,Price,Area,Location,type
"Cho thuê 3500m2 kho xưởng mới dựng tại KCN Minh Đức, huyện Mỹ Hào, Hưng Yên",60 nghìn/m²,3.500 m²,"Mỹ Hào, Hưng Yên",cho-thue-kho-nha-xuong-dat
Cho thuê xưởng 1 / Thới Hòa đường xe tải. Giá rẻ bàn giao ngay,20 triệu/tháng,380 m²,"Bình Chánh, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
Cho thuê xưởng 8200m2. KCN Đức Hòa Long An,389 triệu/tháng,8.200 m²,"Đức Hòa, Long An",cho-thue-kho-nha-xuong-dat
Cho thuê kho tại khu công nghiệp Hoà Khánh - Đà Nẵng 1400m2,55 nghìn/m²,1.400 m²,"Liên Chiểu, Đà Nẵng",cho-thue-kho-nha-xuong-dat
Cho thuê Kho 2200m - 3500m - 5000m - 7000m2 full PCCC tự động tại KCN Hoà Khánh - Hoà Cầm - 55k/m2,Giá thỏa thuận,3.500 m²,"Liên Chiểu, Đà Nẵng",cho-thue-kho-nha-xuong-dat
"Cho thuê xưởng mới 7000m2 KCN Bến Lức. PCCC, trạm 1250kva, nền Epoxy. Giá 71.000 đ/m2",71 nghìn/m²,7.000 m²,"Bến Lức, Long An",cho-thue-kho-nha-xuong-dat
"Cho thuê xưởng mới xây 4000m2 (XD: 3000m2) ở KCN Hải Sơn. Có văn phòng, PCCC tự động, trạm hạ thế",230 triệu/tháng,3.000 m²,"Đức Hòa, Long An",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng DT 2000m2 2 tầng KCN Từ Liêm, Hà Nội",100 nghìn/m²,2.000 m²,"Nam Từ Liêm, Hà Nội",cho-thue-kho-nha-xuong-dat
"CT Hoa Phượng cho thuê kho, xưởng KCN Tân Bình,có kho full dịch vụ quản lý (500m2 đến 15.000m2)",Giá thỏa thuận,2.000 m²,"Tân Phú, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
Cho thuê kho 840m2 mặt tiền Mã Lò Bình Tân,75 triệu/tháng,840 m²,"Bình Tân, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Công ty Hoa Phượng cho thuê kho, xưởng tại các Kcn Deep C; Nam Đình Vũ, gần cảng Hải Phòng",Giá thỏa thuận,10.000 m²,"Hải An, Hải Phòng",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng 650m2 đường Lê Văn Quới, Q. Bình Tân giá 40tr/tháng, xin LH: 0329 241 ***",40 triệu/tháng,650 m²,"Bình Tân, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Công ty Hoa Phượng cho thuê kho, xưởng các KCN Nomura, Tràng Duệ, Cầu Kiền, An Dương, Hải Phòng",Giá thỏa thuận,3.000 m²,"An Dương, Hải Phòng",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng 400m2 - 27tr/tháng, Đường Lê Văn Quới, xin LH: 0329 241 ***",27 triệu/tháng,400 m²,"Bình Tân, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng 450m2 đường Hương Lộ 2, Q. Bình Tân giá 35tr/tháng, xin LH: 0329 241 ***",35 triệu/tháng,450 m²,"Bình Tân, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho khu Trần Điền, Trần Hoà, Định Công Hoàng Mai. 100m2, 180m2, 250m2, 360m2 giá 65k/m2/th",11 triệu/tháng,200 m²,"Hoàng Mai, Hà Nội",cho-thue-kho-nha-xuong-dat
"Cho thuê kho Tân Triều, Thanh Trì, sát Đại Lộ Chu Văn An, xe công đỗ, 180m, 260m, 360 m2, 80k/m2",25 triệu/tháng,300 m²,"Thanh Trì, Hà Nội",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng 1/ đường Số 1 KDC Vĩnh Lộc Bình Hưng Hoà B, Bình Tân, DT 400m2, giá 16 tr",16 triệu/tháng,400 m²,"Bình Tân, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho 100 m, 150 m, 250 m... 500m2, Tân Triều, Triều Khúc, xe ô tô 10 tấn vào, giá 65k/m2/th",65 nghìn/m²,250 m²,"Thanh Trì, Hà Nội",cho-thue-kho-nha-xuong-dat
"Kho xưởng cho thuê Lê Văn Khương, Quận 12, DT: 300m2, giá 15tr/th",15 triệu/tháng,300 m²,"Quận 12, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê kho xưởng MT Nguyễn Tất Thành, Phường 18, Quận 4","42,9 triệu/tháng",330 m²,"Quận 4, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Kho xưởng cho thuê Thới An, Quận 12, DT: 800m2, giá 35tr/th",35 triệu/tháng,800 m²,"Quận 12, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê xưởng 2600m2, PCCC thẩm duyệt, giấy tờ đầy đủ, Tân Phước Khánh, Tân Uyên, Bình Dương",160 triệu/tháng,2.600 m²,"Tân Uyên, Bình Dương",cho-thue-kho-nha-xuong-dat
Cho thuê xưởng cơ khí tại Đà Nẵng diện tích lớn giá tốt,45 triệu/tháng,3.000 m²,"Liên Chiểu, Đà Nẵng",cho-thue-kho-nha-xuong-dat
"Cho thuê xưởng đường Kênh A, xã Lê Minh Xuân, Bình Chánh",35 triệu/tháng,820 m²,"Bình Chánh, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
"Cho thuê xưởng 4000m2 PCCC vách tường trạm điện 400kva.Tiếp đa ngành nghề, Khánh Bình,Tân Uyên",180 triệu/tháng,4.000 m²,"Tân Uyên, Bình Dương",cho-thue-kho-nha-xuong-dat
"Cho thuê xưởng KV 5000m2. Xưởng 2800m2. Đất SKC, pháp lý đầy đủ, có xuất VAT Thuận An Bình Dương",165 triệu/tháng,2.800 m²,"Thuận An, Bình Dương",cho-thue-kho-nha-xuong-dat
"CT Hoa Phượng cho thuê kho, xưởng KCN, KCX Linh Trung, Có kho tự quản và dịch vụ(700m2 đến 5000m2)",100 nghìn/m²,1.000 m²,"Thủ Đức, Hồ Chí Minh",cho-thue-kho-nha-xuong-dat
