Title,Price,Area,Location,type
Rẻ nhất khu vực! Cần cho thuê nhà mặt tiền Thích Quảng Đức (Phước Long) - 5x18m - Chỉ 8 triệu,8 triệu/tháng,90 m²,"Nha Trang, Khánh Hòa",cho-thue-nha-mat-pho
"Cho thuê nhà MP Ngụy Như Kon Tum, Thanh Xuân. MT: 8m, DT: 96m2 x 6 tầng, giá thuê: 100tr/tháng",100 triệu/tháng,96 m²,"Thanh Xuân, Hà Nội",cho-thue-nha-mat-pho
"Cho thuê nhà MP Nguyễn Văn Lộc, Hà Nội. MT: 7m, DT: 150m2 x 3 tầng, giá thuê: 80 triệu/tháng",80 triệu/tháng,150 m²,"Hà Đông, Hà Nội",cho-thue-nha-mat-pho
"Cho thuê nhà MT ngay đường Trần Não, P. An Khánh, Quận 2 - diện tích: 66m2 - giá: 42tr/tháng (TL)",42 triệu/tháng,66 m²,"Quận 2, Hồ Chí Minh",cho-thue-nha-mat-pho
Cho thuê nhà cấp 4 diện tích 850m2 mặt tiền Quận 7,102 triệu/tháng,850 m²,"Quận 7, Hồ Chí Minh",cho-thue-nha-mat-pho
Cho thuê tầng trệt kinh doanh hoặc nguyên căn nhà 1 trệt 2 lầu (5x25) ngay ngã tư 550,20 triệu/tháng,250 m²,"Dĩ An, Bình Dương",cho-thue-nha-mat-pho
"Cho thuê nhiều nhà phố shophouse KĐT Sala Đại Quang Minh. DT sàn: 225m2 - 760m2, LH 0908 111 ***",72 triệu/tháng,500 m²,"Quận 2, Hồ Chí Minh",cho-thue-nha-mat-pho
"Cho thuê nhà hàng mặt tiền phường Võ Thị Sáu, Quận 3. Ngang 11m, DT khủng 700m2. Trệt 3 lầu có sân",292 triệu/tháng,374 m²,"Quận 3, Hồ Chí Minh",cho-thue-nha-mat-pho
Nhà Liễu Giai Ba Đình giá rẻ DT 70m2 x5 tầng mới xây MT 5m kinh doanh mọi mô hình giá 5xtr/th,Giá thỏa thuận,70 m²,"Ba Đình, Hà Nội",cho-thue-nha-mat-pho
"Cho thuê nhà mặt tiền 4.5m - Diện tích 100m2 x 3 tầng, phố Lạch Tray. Giá 35 triệu/tháng",35 triệu/tháng,100 m²,"Ngô Quyền, Hải Phòng",cho-thue-nha-mat-pho
Cần cho thuê 2 căn nhà 3 tầng mặt tiền Võ Chí Công,12 triệu/tháng,111 m²,"Cẩm Lệ, Đà Nẵng",cho-thue-nha-mat-pho
Cho thuê nhà giá rẻ MP Minh Khai Hai Bà Trưng 80m2 x7 tầng thông sàn cầu thang cuối giá 4xtr,Giá thỏa thuận,80 m²,"Hai Bà Trưng, Hà Nội",cho-thue-nha-mat-pho
Cho thuê nhà mặt đường Trần Nguyên Hãn tiêu chuẩn ngân hàng DT 90m ngang 9m giá 65tr/tháng,65 triệu/tháng,90 m²,"Lê Chân, Hải Phòng",cho-thue-nha-mat-pho
"Cho thuê nhà mặt đường Trường Trinh, DT 290m2 ngang 10m giá 40tr/tháng. Liên hệ 0936 577 ***",40 triệu/tháng,290 m²,"Kiến An, Hải Phòng",cho-thue-nha-mat-pho
"Cho thuê nhà MP Láng Hạ mặt tiền 8m, diện tích 70m2 x 2 tầng, giá thuê 65tr/tháng",65 triệu/tháng,70 m²,"Đống Đa, Hà Nội",cho-thue-nha-mat-pho
"Cho thuê nhà mặt tiền 5m mặt đường Cát Dài, Lê Chân, Hải Phòng",30 triệu/tháng,110 m²,"Lê Chân, Hải Phòng",cho-thue-nha-mat-pho
"Cho thuê nhà MT DT 5x20m Đ. Nguyễn Thị Thập Q7 nhà TKVP - 5 tầng - thang máy, LH 0908 935 ***",90 triệu/tháng,100 m²,"Quận 7, Hồ Chí Minh",cho-thue-nha-mat-pho
"""Siêu đẹp"" cho thuê góc 2 mặt tiền Nguyễn Thị Minh Khai, Quận 3 (18 x 30m, trệt 3 lầu, TM)",200 triệu/tháng,350 m²,"Quận 3, Hồ Chí Minh",cho-thue-nha-mat-pho
Cho thuê tòa nhà mới đẹp ngay MT Trương Định Quận 3. Gần hồ Con Rùa ngang 6x30m. Giá thuê 200 tr/th,200 triệu/tháng,180 m²,"Quận 3, Hồ Chí Minh",cho-thue-nha-mat-pho
"Cho thuê mặt tiền Nguyễn Trãi, Quận 1, ngang 15x70m, gồm 9 phòng vip, full nội thất, giá chỉ 250tr",250 triệu/tháng,1.050 m²,"Quận 1, Hồ Chí Minh",cho-thue-nha-mat-pho
"Cho thuê nhà mặt tiền ngay hồ Con Rùa (11*23m) Quận 1, lõi trung tâm 1000m2 sàn",300 triệu/tháng,253 m²,"Quận 3, Hồ Chí Minh",cho-thue-nha-mat-pho
Cho thuê tòa nhà văn phòng Nguyễn Kiệm - 8x18m - 860m2 sàn - hầm 8 tầng - giá 100 triệu,100 triệu/tháng,"142,5 m²","Gò Vấp, Hồ Chí Minh",cho-thue-nha-mat-pho
"Cho thuê nhà mặt tiền đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, DTSD: 240m2. Chỉ 88tr/th",88 triệu/tháng,80 m²,"Quận 1, Hồ Chí Minh",cho-thue-nha-mat-pho
"Siêu hiếm mặt tiền Sư Vạn Hạnh đối diện Vạn Hạnh Mall, nhà 4 tầng, có vỉa hè. Chỉ 70tr. KD tự do",70 triệu/tháng,80 m²,"Quận 10, Hồ Chí Minh",cho-thue-nha-mat-pho
Cho thuê nhà góc 2 MT cực hiếm Phan Xích Long - Hoa Hồng (8x18m) Hầm 5 tấm chỉ 90tr/tháng,90 triệu/tháng,144 m²,"Phú Nhuận, Hồ Chí Minh",cho-thue-nha-mat-pho
Cho thuê nhà đẹp 5 tầng 132m2 mặt tiền Trần Não Quận 2 khu sầm uất tiện ở và kinh doanh,65 triệu/tháng,132 m²,"Quận 2, Hồ Chí Minh",cho-thue-nha-mat-pho
"Top 5 căn nhà phố cho thuê làm văn phòng có hầm & thang máy giá tốt nhất tại An Phú, Quận 2","40,7 triệu/tháng",100 m²,"Quận 2, Hồ Chí Minh",cho-thue-nha-mat-pho
"Cho thuê cửa hàng phố Huế - Hai Bà Trưng, 160m2, MT 6m, 99 triệu / tháng",99 triệu/tháng,160 m²,"Hai Bà Trưng, Hà Nội",cho-thue-nha-mat-pho
"Cho thuê mặt tiền Nguyễn Thị Diệu, P6, Quận 3 diện tích 11x34m, 4 tầng, giá 289,5 triệu/ tháng","289,5 triệu/tháng",374 m²,"Quận 3, Hồ Chí Minh",cho-thue-nha-mat-pho
