Title,Price,Area,Location,type
"CHO THUÊ CỬA HÀNG, KI ỐT TẠI VIỆT NAM",Giá: 60 triệu/tháng,Diện tích: 105 m²,"Hoàng Sa, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
"MT HOÀNG SA, P.TÂN ĐỊNH, Q.1 7MX15M 7 TẦNG, CÓ THANG MÁY",Giá: 35 triệu/tháng,Diện tích: 360 m²,"Đường Lê Văn Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
CHO THUÊ NHÀ MẶT TIỀN LÊ VĂN THỌ P16 GÒ VẤP. DT: 5X36,Giá: 60 triệu/tháng,Diện tích: 350 m²,"Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
"CHO THUÊ NHÀ MT LÊ ĐỨC THỌ, P.13, QUẬN GÒ VẤP.DT :10X35",Giá: 30 triệu/tháng,Diện tích: 110 m²,"Đường Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
CHO THUÊ MẶT BẰNG MẶT TIỀN THỐNG NHẤT P11 GÒ VẤP_DT: 110M2,Giá: 75 triệu/tháng,Diện tích: 300 m²,"Đường Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
"5 TẦNG + THANG MÁY MẶT TIỀN NGAY CỐNG QUỲNH, KHU BÙI VIỆN Q1",Giá: 25 triệu/tháng,Diện tích: 600 m²,"Đường Quách Điêu - Nguyễn Thị Tú, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
MẶT BẰNG KINH DOANH 10 X 60 ( 600M2 ) MT ĐƯỜNG QUÁCH ĐIÊU,Giá: 25 triệu/tháng,Diện tích: 110 m²,"Nguyễn Oanh, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
CHO THUÊ NHÀ MẶT TIỀN NGUYỄN OANH P10 GÒ VẤP . DT:6X14,Giá: 50 triệu/tháng,Diện tích: 630 m²,"Phan Huy Ích, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
MTKD & KHO XƯỞNG ĐẸP RẺ,Giá: 65 triệu/tháng,Diện tích: 130 m²,"Đường Kha Vạn Cân, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
CHO THUÊ NHÀ MẶT TIỀN KHA VẠN CÂN,Giá: 20 triệu/tháng,Diện tích: 50 m²,"713, Đường Tạ Quang Bửu, Phường 4, Quận 8, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=
