Title,Price,Area,Location,type
"Cho thuê nhà mặt phố Ngô Thì Nhậm, tòa nhà rộng làm trụ sở công ty","Giá
:
700 Triệu/tháng","Diện tích
:
350 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê nhà mặt phố Huế, vị trí sầm uất kinh doanh","Giá
:
100 Triệu/tháng","Diện tích
:
145 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê 2 tầng nhà mặt phố Huế, mặt tiền rộng làm cửa hàng","Giá
:
180 Triệu/tháng","Diện tích
:
230 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê 1 phần hoặc cả nhà phố Bà Triệu, mặt tiền lớn","Giá
:
200 Triệu/tháng","Diện tích
:
220 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê tòa nhà mặt phố Lê Đại Hành, phù hợp làm văn phòng trụ sở công ty","Giá
:
750 Triệu/tháng","Diện tích
:
1700 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê nhà mặt phố Bà Triệu, vị trí vip kinh doanh hoặc trụ sở công ty","Giá
:
350 Triệu/tháng","Diện tích
:
350 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê 1 phần hoặc cả nhà phố Bà Triệu, mặt tiền lớn","Giá
:
200 Triệu/tháng","Diện tích
:
220 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê tòa nhà mặt phố Lê Đại Hành, phù hợp làm văn phòng trụ sở công ty","Giá
:
750 Triệu/tháng","Diện tích
:
1700 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho thuê nhà mặt phố Bà Triệu, vị trí vip kinh doanh hoặc trụ sở công ty","Giá
:
350 Triệu/tháng","Diện tích
:
350 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
"Cho Thuê Mặt Phố Triệu Việt Vương, Tô Hiến Thành, Đoàn Trần Nghiệp: 160m2, MT 7m, xây 11 tầng,2 hầm","Giá
:
450 Triệu/tháng","Diện tích
:
160 m²","Vị trí
:
Hai Bà Trưng - Hà Nội",cua_hang_kiot
Cho thuê mặt bằng góc 2 mặt tiền đường 30/4,"Giá
:
30 Triệu/tháng","Diện tích
:
230 m²","Vị trí
:
Ninh Kiều - Cần Thơ",cua_hang_kiot
CHO THUÊ NGANG 12M MẶT TIỀN ĐƯỜNG 3/2 - NGAY NGÃ TƯ 3/2 & NGUYỄN VĂN LINH,"Giá
:
145 Triệu/tháng","Diện tích
:
600 m²","Vị trí
:
Ninh Kiều - Cần Thơ",cua_hang_kiot
"Cho thuê nhà ngang hơn 11m mặt phố đường Nguyễn Văn Linh, Cần Thơ","Giá
:
60 Triệu/tháng","Diện tích
:
806.4 m²","Vị trí
:
Ninh Kiều - Cần Thơ",cua_hang_kiot
