City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Trà Vinh,Trà Vinh,Phường 4,Đường Chu Văn An,"Đường Chu Văn An, Phường 4, Thành phố Trà Vinh, Trà Vinh",24.0,9.0,375000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Đường Xuân Thủy,"Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",500.0,245.0,490000.0
Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",550.0,40.0,72727.27272727272
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,,"Đường Hàm Nghi, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",100.0,50.0,500000.0
Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Phố Hoàng Đạo Thúy,"Đường Hoàng Đạo Thúy, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",175.0,85.0,485714.28571428574
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,Đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",3.2,100.0,31250000.0
Hà Nội,Quận Hà Đông,Phường Mộ Lao,Đường Trần Phú,"Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",310.0,150.0,483870.96774193546
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Phố Hàm Nghi,"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",460.0,129.99999999999997,282608.6956521739
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Đường Xuân Thủy,"Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",200.0,100.0,500000.0
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Đường Giảng Võ,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",127.0,90.0,708661.4173228346
Hà Nội,Huyện Gia Lâm,Xã Đa Tốn,Đường Đa Tốn,"Đường Đa Tốn, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",90.0,75.0,833333.3333333334
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Hoàng Đạo Thúy,"Đường Hoàng Đạo Thúy, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",1.5,350.0,233333333.33333334
Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",500.0,100.0,200000.0
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Đường Mỹ Đình,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",220.0,250.00000000000003,1136363.6363636365
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Đường Giảng Võ,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",280.0,932.0,3328571.4285714286
Hà Nội,Quận Thanh Xuân,,Đường Trường Chinh,"Đường Trường Chinh, Quận Thanh Xuân, Hà Nội",2.0,500.0,250000000.0
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Phố Nguyễn Quốc Trị,"Đường Nguyễn Quốc Trị, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",700.0,140.0,200000.0
Hà Nội,Quận Long Biên,Phường Gia Thụy,Đường Nguyễn Văn Linh,"Đường Nguyễn Văn Linh, Phường Gia Thụy, Quận Long Biên, Hà Nội",500.0,320.0,640000.0
Hà Nội,Quận Đống Đa,Phường Ngã Tư Sở,Phố Tây Sơn,"Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",720.0,280.0,388888.8888888889
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Phố Trung Kính,"Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",175.0,145.0,828571.4285714285
Hà Nội,Quận Hà Đông,Phường La Khê,Đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",7.0,200.0,28571428.57142857
Hà Nội,Quận Long Biên,Phường Ngọc Lâm,Đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",1.2,160.0,133333333.33333334
Hà Nội,Quận Hà Đông,Phường Dương Nội,Hẻm 543 Đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",80.0,18.0,225000.0
Hà Nội,Huyện Hoài Đức,Xã An Khánh,Đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Xã An Khánh, Huyện Hoài Đức, Hà Nội",100.0,9.0,90000.0
Hưng Yên,Huyện Văn Giang,Xã Nghĩa Trụ,,"Xã Nghĩa Trụ, Huyện Văn Giang, Hưng Yên",100.0,10.0,100000.0
Hà Nội,Quận Long Biên,Phường Thượng Thanh,Đường Lý Sơn,"Đường Lý Sơn, Phường Thượng Thanh, Quận Long Biên, Hà Nội",40.0,10.0,250000.0
Hà Nội,Quận Long Biên,Phường Phúc Lợi,Đường Phúc Lợi,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",45.0,5.0,111111.11111111111
Hà Nội,Quận Long Biên,Phường Thạch Bàn,Đường Thạch Bàn,"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",128.0,14.0,109375.0
Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,Đường Diệp Minh Châu,"Đường Diệp Minh Châu, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",480.0,60.0,125000.0
Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Đường Nguyễn Khánh Toàn,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",35.0,6.5,185714.2857142857
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Phố Trung Kính,"Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",50.0,25.9,518000.0
Hà Nội,Quận Đống Đa,Phường Kim Liên,Phố Lương Định Của,"Phố Lương Định Của, Phường Kim Liên, Quận Đống Đa, Hà Nội",80.0,13.0,162500.0
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Đường Võ Chí Công,"Đường Võ Chí Công, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",850.0,250.00000000000003,294117.64705882355
Bà Rịa-Vũng Tàu,Thị Xã Phú Mỹ,Phường Phú Mỹ,Đường Ngô Gia Tự,"Đường Ngô Gia Tự, Phường Phú Mỹ, Thị Xã Phú Mỹ, Bà Rịa Vũng Tàu",198.0,9.0,45454.545454545456
Bình Định,Quy Nhơn,Phường Nguyễn Văn Cừ,Đường Võ Thị Yến,"Đường Võ Thị Yến, Phường Nguyễn Văn Cừ, Thành phố Quy Nhơn, Bình Định",125.0,25.0,200000.0
