City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hưng Yên,Hưng Yên,,,"Chính chủ cho thuê nhà xưởng có diện tích từ 3,000 - 15,000 m2 tại TP. Hưng Yên, Tỉnh Hưng Yên",15000.0,780.0,52000.0
Hồ Chí Minh,Bình Chánh,,,"Cho thuê kho có sẵn PCCC tự động tại KCN Vĩnh Lộc, Tp. HCM, có Bảo vệ 24/24h",250.0,25.0,100000.0
Hồ Chí Minh,Quận 7,,,"Kho riêng (tự quản), kho chung có thủ kho quản lý và nhà xưởng từ: 5m2 đến 50,000m2 giá 60,000đ/m2",1000.0,50.0,50000.0
Hồ Chí Minh,Bình Chánh,,,"Chính chủ cho thuê kho 2000m2, đường xe công 24h - vòng xoay An Lạc",2000.0,170.0,85000.0
Hà Nội,Đông Anh,,,"Cho thuê nhà xưởng xây dựng theo yêu cầu đảm bảo PCCC nghiệm thu tại KCN Liên Hà 2, Đông Anh Hà Nội",5000.0,400.0,80000.0
Hồ Chí Minh,Bình Chánh,,,Cho thuê nhà máy - showroom trưng bày mặt tiền hơn 30m,3100.0,180.0,58064.51612903226
Hồ Chí Minh,Quận 2,,,cho thuê tầng hầm sẵn máy lạnh chỉ 11tr/tháng tại sala,30.0,11.0,366666.6666666667
Bình Dương,Thủ Dầu Một,Phường Hiệp Thành,,Cho thuê nhà xưởng tại Tứ Hiệp - Thanh Trì,550.0,20.0,36363.63636363636
Đồng Nai,Huyện Trảng Bom,Xã An Viễn,Đường Vào Khu Công Nghiệp Giang Điền,"Cho thuê nhà xưởng trong KCN Trảng Bom, Đồng Nai",6000.0,492.0,82000.0
Bình Dương,Huyện Phú Giáo,Xã Vĩnh Hòa,,Cho thuê kho xưởng tại xã Vĩnh Hoà Phú Giáo Bình Dương,6000.0,246.0,41000.0
Hồ Chí Minh,Nhà Bè,,,"Đất cho thuê khu vực đông dân Phước Kiểng, Nhà Bè, gần trường cấp 1 công viên thuận tiện kinh doanh",100.0,6.0,60000.0
Hà Nội,Hoài Đức,,,Chính chủ cho thuê kho xưởng giá tốt 300 - 500m2 La Phù - An Khánh Hoài Đức. LH: 0389 711 ***,500.0,32.5,65000.0
Hồ Chí Minh,Quận 2,,,Cho thuê tầng hầm có sẵn máy lạnh giá chỉ 11tr/tháng Sari Town KDT Sala,30.0,11.0,366666.6666666667
Hồ Chí Minh,Bình Tân,,,"Cho thuê kho chứa hàng diện tích tùy chọn, kho có sẵn PCCC tự động, an toàn bảo vệ 24/24h",250.0,25.0,100000.0
Đồng Nai,Huyện Long Thành,Xã Phước Bình,Hẻm 2391 Quốc Lộ 51,"Cho thuê nhà xưởng trong cụm công nghiệp Phước Bình, Long Thành Đồng Nai",1400.0,65.0,46428.57142857143
Hưng Yên,Văn Giang,,,Cho thuê kho xưởng mới khu Văn Giang 500m2 đến 150.000m2 (chia theo yêu cầu) giá tốt,1000.0,45.0,45000.0
Hà Nội,Thanh Trì,,,Chính chủ cho thuê kho xưởng diện tích 700m2,700.0,59.5,85000.0
Hưng Yên,Văn Lâm,,,"Cho thuê kho xưởng khu Văn Lâm, Hưng Yên, DT 500m2 đến 150.000m2",500.0,20.0,40000.0
Bình Dương,Huyện Bắc Tân Uyên,,,"Cần cho thuê xưởng 10.000m2 và 20.000m2 tại Tân Uyên, Bình Dương",20000.0,960.0,48000.0
Hà Nội,Đan Phượng,,,Cho thuê 2000m2 đất dựng xưởng tại xã Phương Đình. Giá tốt hơn trong cụm công nghiệp rất nhiều,2500.0,80.0,32000.0
Bình Dương,Thuận An,,,"Em có nhà xưởng chính chủ 200m2 giá thuê 10tr/tháng, tại đường Vĩnh Phú 29",200.0,10.0,50000.0
Hà Nội,Hoài Đức,,,"Cho thuê kho xưởng DT 300-500-1000-3000m2 tại nhà máy Vigracera Hữu Hưng, La Phù, Hoài Đức, Hà Nội",1500.0,97.5,65000.0
Bắc Ninh,Quế Võ,,,Cho thuê kho xưởng chính chủ nhiều diện tích,10000.0,350.0,35000.0
Đồng Nai,Trảng Bom,,,"Cho thuê khu đất 638m2 tường bao quanh + mái tôn kiên cố + nhà 2P gần Thác Giang Điền, 0919 809 ***",638.0,3.9999999999999996,6269.592476489028
Bà Rịa-Vũng Tàu,Thị Xã Phú Mỹ,Phường Phú Mỹ,Đường Độc Lập,"Cho thuê kho, nhà xưởng Bà Rịa Vũng Tàu, Phú Mỹ. LH: 0904 483 ***",1000.0,50.0,50000.0
Hà Nội,Hà Đông,,,Cho thuê kho khu vực Hà Đông diện tích 6000m2 cắt nhỏ theo nhu cầu từ 200m2,500.0,32.5,65000.0
Đồng Nai,Huyện Trảng Bom,Xã Hố Nai 3,Đường Cụm Công Nghiệp,"Cho thuê nhà xưởng trong cụm công nghiệp Hố Nai 3, Trảng Bom, Đồng Nai",4600.0,230.0,50000.0
Hưng Yên,Yên Mỹ,,,"Cho thuê kho, xưởng mới và đẹp khu Yên Mỹ, Hưng Yên DT 500m2 đến 150.000m2",1000.0,40.0,40000.0
Hồ Chí Minh,Bình Chánh,,,"Chính chủ cho thuê nhà xưởng đường 1A, DT: 127m2, Bình Chánh giáp Bình Tân",127.0,11.5,90551.1811023622
Hồ Chí Minh,Quận 8,,,"Cho thuê kho riêng (tự quản), xưởng, kho chung có quản lý từ: 5m2-50m2-100m2-500m2-1000m2-20000m2",10.0,0.7,70000.0
Hà Nội,Hoài Đức,,,"Chính chủ cho thuê kho Vị trí: Mặt đường 32, ngã tư Trôi, TT. Trạm Trôi, Hoài Đức, Hà Nội",800.0,80.0,100000.0
Hà Nội,Bắc Từ Liêm,,,1500m2 mặt đường Phạm Văn Nghị container lùi vào tận trong kho,1500.0,127.5,85000.0
Hưng Yên,Mỹ Hào,,,"Cho thuê kho, xưởng mới đẹp khu CN Mỹ Hào Hưng Yên 500m2 đến 150.000m2 (chia nhỏ theo yêu cầu)",100000.0,4500.0,45000.0
Hà Nội,Quận Hà Đông,Phường Quang Trung,,Cho thuê kho tại 267 Quang Trung - Hà Đông (ngay gần bưu điện Hà Đông - Hà Nội),350.0,40.25,115000.0
Long An,Bến Lức,,,"Cho thuê nhà xưởng 2.000m2 mặt tiền QL N2, LH Ngọc 0936 886 ***",2000.0,50.0,25000.0
Hà Nội,Hoài Đức,,,Chính chủ cho thuê kho-xưởng tại La Phù-Hoài Đức-Đường 72,200.0,13.0,65000.0
Hồ Chí Minh,Quận 9,,,Strans Cho thuê kho Quận 9 diện tích đa dạng từ 60m2 - 3.000m2 dịch vụ quản lý hàng hoá trọn gói,60.0,6.0,100000.0
Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,,"Cho thuê kho Tân Thành, Quận Tân Phú, 220m2",220.0,22.0,100000.0
Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,Đường Nguyễn Thái Học,Cho thuê mặt tiền Nguyễn Thái Học Quận 1 diện tích 650m2,650.0,104.0,160000.0
Cần Thơ,Quận Bình Thủy,Phường Trà Nóc,Đường Trục Chính,"Cho thuê kho nhanh 4 kho 1860m2/kho tại lô số 8, đường trục chính, KCN Trà Nóc, Bình Thủy, Cần Thơ",1860.0,92.0,49462.36559139785
Hà Nội,Huyện Đông Anh,Xã Kim Chung,Đường Cổng Ba,"Cho thuê đất công nghiệp tại KCN Liên Hà 2 - Đông Anh, Hà Nội",10000.0,300.0,30000.0
Hưng Yên,Hưng Yên,Phường Hiến Nam,Đường Nguyễn Văn Linh,"Cho thuê nhà xưởng tại Mỹ Hào, Hưng Yên",844.0,35.448,42000.0
Hà Nội,Long Biên,,,Chính chủ cho thuê 2500m2 tại Đức Giang Long Biên,2500.0,237.5,95000.0
Hồ Chí Minh,Thủ Đức,,,Cho thuê mặt bằng 350 m2 (9.5 x 38 m),350.0,20.0,57142.857142857145
Bà Rịa Vũng Tàu,Phú Mỹ,,,"Cho thuê xưởng 7000m2 đến 14000m2 KCN Mỹ Xuân B1, Phường Mỹ Xuân, TX Phú Mỹ, BRVT",14000.0,1134.0,81000.0
Hưng Yên,Văn Giang,,,"Chính chủ cho thuê kho xưởng trục Ecopark - Văn Giang, Hưng Yên. DT 216m2 - 450m2 - 1000m2",450.0,31.5,70000.0
Hồ Chí Minh,Bình Chánh,,,"Kho giá rẻ 1200m2, có PCCC Chuẩn, có văn phòn, mặt tiền đường Vĩnh Lộc, Bình Tân.",1200.0,100.0,83333.33333333333
Hà Nội,Gia Lâm,,,"Cho thuê gấp kho tại KCN Kiêu Kỵ, Gia Lâm, HN. DT 440m2, 660m2 hoặc 1000m2 giá rẻ",1000.0,60.0,60000.0
Hồ Chí Minh,Gò Vấp,,,"Cho thuê kho xưởng mới đẹp rẻ 70k/m2/th đường Phan Huy Ích, P. 14, Quận Gò Vấp",2300.0,161.0,70000.0
Hồ Chí Minh,Quận 2,,,"Cho thuê kho xưởng trong 750m2, 1000m2, 1700m2, 2800m2 trong KCN Cát Lái Quận 2",1000.0,105.0,105000.0
Bình Dương,Thủ Dầu Một,,,"Cho thuê kho Định Hòa - Thủ Dầu Một đường nhựa 12m, không cấm xe container",300.0,16.0,53333.333333333336
Hồ Chí Minh,Bình Chánh,,,"Cho thuê kho 4000m2 đường Huỳnh Bá Chánh (Quốc Lộ 1A, Vòng Xoay An Lạc)",4000.0,142.0,35500.0
Đồng Nai,Long Khánh,Xã Bình Lộc,Hẻm 80 Bình Lộc,"Cho thuê xưởng 5100m2 và 8000m2 KCN Long Khánh, Xã Bình Lộc, TP Long Khánh, Đồng Nai",5100.0,435.0,85294.11764705883
Hà Nội,Thanh Trì,,,"Cho thuê kho xưởng tại cụm CN Ngọc Hồi. Diện tích đa dạng, tiêu chuẩn cao, PCCC, xuất VAT đầy đủ",600.0,46.2,77000.0
Đà Nẵng,Sơn Trà,,,"Cho thuê hoặc chuyển nhượng gần 2000m2 đất có 1000m2 nhà xưởng tại KCN An Đồn, Sơn Trà, Đà Nẵng",2000.0,65.0,32500.0
Quảng Nam,Núi Thành,,,"Hiện tại tại đang có nhà xưởng An Thanh - KCN Tam Anh - Hàn Quốc, tỉnh Quảng Nam",5000.0,200.0,40000.0
Đà Nẵng,Hòa Vang,,,"Hiện tại đang còn kho cho thuê, 500m², 860m², 1000m², 1500m² mặt tiền đường QL 1A, TP Đà Nẵng",500.0,27.0,54000.0
Đà Nẵng,Liên Chiểu,,,"Cho thuê 200, 250, 300, 330, 400, 500, 540, 600, 720 (m2) kho nhà xưởng gần bến xe TP Đà Nẵng",400.0,16.0,40000.0
Đà Nẵng,Liên Chiểu,,,"Kho logistics cho thuê tại Đà Nẵng đẹp hơn tranh vẽ, diện tích 5000m, 10000m, 15000m, 30000m2",5000.0,300.0,60000.0
Đà Nẵng,Quận Liên Chiểu,Phường Hòa Khánh Bắc,Đường Số 2,"Cho thuê 6500m2 kho nhà xưởng tại khu công nghiệp Hòa Khánh, Liên Chiểu, TP Đà Nẵng",6500.0,75.0,11538.461538461539
Đà Nẵng,Liên Chiểu,,,"Cho thuê 1000m2 1200m2 2400m2 4000m2 5000m2 6500m2 8600m2 10.000m2 kho xưởng KCN Hòa Khánh, Đà Nẵng",5000.0,200.0,40000.0
Hồ Chí Minh,Quận 9,,,"Cho thuê kho xưởng 1000m2 Đỗ Xuân Hợp, Phước Long B, Quận 9",1000.0,65.0,65000.0
Hồ Chí Minh,Quận 9,,,"Cho thuê xưởng 1300m2, 45 triệu/th đường Nguyễn Xiển, Thủ Đức",1300.0,45.0,34615.38461538462
Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,Đường Âu Cơ,"Cho thuê kho 500m2 đường Âu Cơ, Phường Tân Thành, Quận Tân Phú",500.0,50.0,100000.0
Hồ Chí Minh,Thủ Đức,,,"Cho thuê kho xưởng 3500m2, 1200m2, 800m2 Phường Linh Trung, Thủ Đức, PCCC tự động, xe cont 24/24",3500.0,385.0,110000.0
Hà Nội,Nam Từ Liêm,,,"Cho thuê kho đường Trần Hữu Dực, Nam Từ Liêm. DT 220m, tường gạch, nền đá hoa, điện 3fa. Giá 80k/m",220.0,17.6,80000.0
Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Đường Nguyễn Hữu Thọ,"Cho thuê đất 2,8ha MT Nguyễn Hữu Thọ Phước Kiển Nhà Bè giá 250 tr/th đã san lấp 1/2 tiện làm bãi xe",28000.0,250.00000000000003,8928.57142857143
Long An,Cần Giuộc,,,"Cần cho thuê Kho xưởng KCN Long Hậu 1,2, DT 1000m2, 2300m2, 4000m2, giá từ 85k -130k/m2 bao phí",1300.0,117.0,90000.0
Hồ Chí Minh,Nhà Bè,,,Cho thuê 5ha đất CLN mặt tiền đường Đào Sư Tích Phước Lộc 500 tr/th san lấp đẹp tiện mở sân golf,50000.0,500.0,10000.0
Đắk Nông,Cư Jút,,,Cho thuê kho 2800m2 Tâm Thắng Cư Jút,2800.0,70.0,25000.0
Bà Rịa Vũng Tàu,Phú Mỹ,,,"Cho thuê xưởng 4800m2 - 9000m2 KCN Mỹ Xuân B1, Phường Mỹ Xuân, TX Phú Mỹ, BRVT",9000.0,81.0,9000.0
Đồng Nai,Biên Hòa,Phường Long Bình Tân,Đường Bùi Văn Hòa,"Cho thuê xưởng 4400m2 KCN Amata, Tp Biên Hòa, Đồng Nai",7000.0,443.0,63285.71428571428
Đồng Nai,Huyện Long Thành,Xã An Phước,,"Cho thuê kho/xưởng 6000m2 KCN Long Thành, huyện Long Thành, Đồng Nai",6000.0,330.0,55000.0
Hồ Chí Minh,Quận 2,,,"Cho thuê kho 1720m2 và 2800m2 KCN Cát Lái, Phường Cát Lái, Quận 2",2800.0,295.0,105357.14285714286
Đồng Nai,Huyện Nhơn Trạch,Xã Phước Thiền,Hẻm 12 Ấp Chợ,"Cho thuê xưởng 8900m2 KCN Nhơn Trạch 1, Đồng Nai",8900.0,53.4,6000.0
Hồ Chí Minh,Quận 2,,,"Cho thuê kho 1000m2 - 2000m2 KCN Cát Lái, Quận 2",1000.0,130.0,130000.0
Hà Nội,Thanh Trì,,,Chúng tôi có 260m và 699m kho xưởng cần cho thuê ở Phan Trọng Tuệ Thanh Trì 75k/m kho cao có bảo vệ,200.0,15.0,75000.0
Bình Dương,Huyện Bắc Tân Uyên,Xã Bình Mỹ,,Cần cho thuê xưởng 800m2 ngay Bình Mỹ Bắc Tân Uyên Bình Dương,800.0,32.0,40000.0
Hồ Chí Minh,Tân Bình,,,"Cho thuê đất kinh doanh 2 mặt tiền Âu Cơ 8000m2 - 1.2 tỷ thích hợp làm siêu thị, showroom cao cấp",8000.0,1200.0,150000.0
Hồ Chí Minh,Bình Tân,,,"Cho thuê kho xưởng mặt tiền dg Hồ Văn Long, Tân Tạo, Bình Tân DT 2400 m2 giá 180 tr PCCC vách tường",2400.0,180.0,75000.0
Đắk Lắk,Buôn Ma Thuột,,,"Cho thuê kho mặt tiền đường Nguyễn Khuyến, 600m2, kết cấu kho 20x20m, giá chỉ 7 triệu/tháng",600.0,7.0,11666.666666666666
Hồ Chí Minh,Bình Thạnh,,,"Cho thuê kho 6x20m Bình Lợi, P13, BT kho đẹp mới, trần cao, có gác, wc. Đường xe hơi, xe tải đỗ cử",150.0,17.0,113333.33333333333
Hồ Chí Minh,Bình Thạnh,,,"Cho thuê kho sẵn trống giao ngay Bình Lợi - Đặng Thuỳ Trâm, P13, Bình Thạnh. DT: 12 x 21m, 250 m2",250.0,32.0,128000.0
Cần Thơ,Ninh Kiều,,,Cho thuê kho 310 m2 mặt tiền Trần Vĩnh Khiết 16 triệu,310.0,16.0,51612.903225806454
Cần Thơ,Bình Thủy,,,Cho thuê kho 3 kho mới xây mặt tiền Nguyễn Văn Linh,400.0,25.0,62500.0
Cần Thơ,Cái Răng,,,Cho thuê kho 125m2 gần xe Toyota tiện chứa hàng,125.0,7.0,56000.0
Cần Thơ,Cái Răng,,,Cho thuê kho 4.300 m2 mặt tiền Quốc lộ 1A có điện 3 pha 100 triệu,4300.0,99.99999999999999,23255.81395348837
Hải Phòng,Thủy Nguyên,,,"Cho thuê nhà xưởng từ 2400 - 3200m2 trong khu công nghiệp - Thuỷ Nguyên. Phù hợp FDI, EPE",20000.0,2600.0,130000.0
Hồ Chí Minh,Quận 7,,,"Thuê kho 300m2 Quận 7 có văn phòng, wc, điện, nước đủ",300.0,30.0,100000.0
Hồ Chí Minh,Quận 7,,,Cho thuê 600m2 kho và 1200m2 đất trống mặt tiền đường container tại Quận 7. Giá cực rẻ chỉ 40tr/th,1800.0,40.0,22222.222222222223
Hải Phòng,Tiên Lãng,,,"Cho thuê xưởng khu CN Đình Vũ tại Hải Phòng, diện tích 1.800 m2, kho xưởng tiêu chuẩn cao 12m",1800.0,50.4,28000.0
Khánh Hòa,Nha Trang,,,Cho thuê mặt bằng đẹp ngay vòng xoay lớn 23/10 vs A1 Vĩnh Điềm Trung,262.0,30.0,114503.81679389313
Hải Phòng,Thủy Nguyên,,,"Cho thuê kho 2000m2 tại Thuỷ Nguyên, PCCC nghiệm thu, gần khu CN Vsip Hải Phòng",2000.0,110.0,55000.0
Đà Nẵng,Cẩm Lệ,,,"Cho thuê kho, nhà xưởng 1000m2, 1800m2, 3500m2, trong KCN Hoà Cầm, Cẩm Lệ, Đà Nẵng",1800.0,90.0,50000.0
Đà Nẵng,Liên Chiểu,,,"Cho thuê kho, nhà xưởng 1000m2, 2000m2, 3000m2, 70000m2 trong KCN Hoà Khánh - Giá từ 50k/m2",1000.0,55.0,55000.0
Lâm Đồng,Đức Trọng,,,"Cho thuê 54m mặt tiền QL 20, cách thị trấn Liên Nghĩa tầm 5km",4000.0,55.0,13750.0
Hà Nội,Hoàng Mai,,,"CC cho thuê 500 - 1000m2 làm SX, kho lưu, in ấn, chế xuất thực phẩm tại Giải Phóng, Hoàng Mai",500.0,50.0,100000.0
Hà Nội,Thanh Trì,,,"Cty cho thuê 1500-10000m2 tại KCN Ngọc Hồi, Thanh Trì làm SX kho lưu, đầy đủ PCCC, xuất full HĐ",1500.0,120.0,80000.0
Hà Nội,Đông Anh,,,"CC cần cho thuê 400m2 tại mặt đường thị trấn Đông Anh làm kho lưu, SX, chế biến, logitis. Giá 30tr",400.0,30.0,75000.0
Hồ Chí Minh,Quận 12,,,Cho thuê xưởng mới xây DT 9x30 gác đúc 50m2 hẻm 16m giá 25 tr/tháng LH 0919 147 ***,270.0,25.0,92592.5925925926
Bình Dương,Thủ Dầu Một,Phường Phú Tân,Đường N5 Khu Công Nghiệp Sóng Thần 3,Cho thuê xưởng trong khu công nghiệp Sóng Thần 3 - Thủ Dầu Một - Bình Dương,18800.0,1842.4,98000.0
Bình Dương,Thủ Dầu Một,,,Cho thuê kho trong KCN Vsip 2 - Bình Dương. Cho thuê kho từ 2000m2 đến 80.000m2 tiêu chuẩn logistic,80000.0,1920.0,24000.0
Hồ Chí Minh,Nhà Bè,,,Chuyên cho thuê kho-xưởng-đất Phước Kiển Nhà Bè. DT 100m2 đến 1000m2 giá từ 50ng/m2 đến 80ngh/m2/th,380.0,29.999999999999996,78947.36842105263
Hồ Chí Minh,Nhà Bè,,,Cho thuê kho xưởng KDC Làng Đại Học ABC - Phước Kiển - Nhà Bè. DT: 5x25=125m2 giá 7tr đường 12m,125.0,7.0,56000.0
Hồ Chí Minh,Thủ Đức,,,"Cho thuê kho xưởng 1200m2; 3500m2 Linh Trung, Thủ Đức",1200.0,132.0,110000.0
Bình Dương,Thủ Dầu Một,,,Cho thuê kho KCN Vsip 2 - Bình Dương. Cho thuê kho tiêu chuẩn logistics từ 2000m2 đến 40.000m2,40000.0,3120.0,78000.0
Hồ Chí Minh,Quận 9,,,"Cho thuê kho xưởng 800m2 đường Hoàng Hữu Nam, Quận 9 gần bến xe Miền Đông mới, container vào kho",800.0,45.0,56250.0
Hồ Chí Minh,Thủ Đức,Phường An Khánh,Đường Trần Não,"Cho thuê kho xưởng 100m2; 200m2 Trần Não, P. An Khánh, Quận 2, Tp Thủ Đức",100.0,10.0,100000.0
Hồ Chí Minh,Quận 9,,,"Cho thuê kho 500m2, 1000m2 Tăng Nhơn Phú, Phước Long B, Q9 xe có PCCC, chỉ 70k/m2/th",500.0,35.0,70000.0
Hồ Chí Minh,Thủ Đức,Phường Trường Thọ,Đường Xa Lộ Hà Nội,"Cho thuê kho xưởng 1250m2, 2000m2, 5000m2 đường Xa Lộ Hà Nội, P. Trường Thọ, TP Thủ Đức",1250.0,87.5,70000.0
Bà Rịa Vũng Tàu,Phú Mỹ,,,"Cho thuê kho xưởng 2500m2 - 11.000m2 KCN Mỹ Xuân A, A2, B1 gần KCN Phú Mỹ 1,2,3, BRVT. 60k/m2/th",2500.0,150.0,60000.0
Đồng Nai,Nhơn Trạch,,,"Cho thuê kho xưởng 3100m2 - 10.000m2 KCN Nhơn Trạch, Huyện Nhơn Trạch, Đồng Nai. Giá 90.000đ/m2",3100.0,279.0,90000.0
Đồng Nai,Huyện Long Thành,,,"Cho thuê kho xưởng trong KCN Lộc An - Bình Sơn, huyện Long Thành, Đồng Nai. Giá 80k/m2",2500.0,200.0,80000.0
