City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Đà Nẵng,Quận Hải Châu,Phường Bình Hiên,Đường 2 Tháng 9,CHO THUÊ MẶT BẰNG MẶT TIỀN TẦNG LỬNG GIÁ RẺ ĐƯỜNG 2 THÁNG 9 PHƯỜNG BÌNH HIÊN QUẬN HẢI CHÂU,70.0,13.0,185714.2857142857
Đồng Nai,Biên Hòa,,,"🔴Cho thuê mặt bằng ngay trường tiểu học, bán tự do, gần chợ long bình- giá 16 triệu",113.0,16.0,141592.9203539823
Đồng Nai,Biên Hòa,,,"🔴Cho thuê mặt bằng ngang 10m, ngay coopmart, đường Phạm Văn Thuận Biên Hòa, Giá 60 Triệu",300.0,60.0,200000.0
Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Đào Trí,"Cho thuê shophouse khu Jamona City,Đào Trí,P.Phú Thuận,Quận 7",178.0,18.0,101123.59550561798
Đồng Nai,Biên Hòa,,,"🔴Cho thuê mặt bằng ngang gần 10m đường Phạm Văn Thuận, gần 200m2, MB Trống suốt sẵn",200.0,70.0,350000.0
Đồng Nai,Biên Hòa,,,"🔴Cho thuê mặt bằng mặt tiền đường Huỳnh văn Nghệ, gần đại học Lạc Hồng, Bửu Long giá 8Tr",40.0,8.0,200000.0
Đồng Nai,Biên Hòa,,,"🔴Cho thuê nhà 3 lầu, khu D2D Võ Thị sáu, ngay trung tâm , giá chỉ 17 Triệu",72.0,17.0,236111.11111111112
Hà Nội,Hoàng Mai,,,Cho thuê mặt bằng kinh doanh tại KĐT Gamuda Gardens LH 0977 699 855,100.0,20.0,200000.0
Đồng Nai,Vĩnh Cửu,,,"💥thuê nhà+mặt bằng kinh doanh Vũ Hồng Phô 1 xẹc,Bình Đa,Biên Hoà 10triệu ☘️ Diện tích sữ dụng : 2",250.0,10.0,40000.0
Bình Dương,Thuận An,,,Cho thuê mặt bằng kinh doanh 175m2 tại Thuận An,175.0,13.0,74285.71428571429
Lâm Đồng,Bảo Lộc,,,"SANG NHƯỢNG MẶT BẰNG QUÁN CAFE 165M2 ĐƯỜNG TRẦN PHÚ, LỘC SƠN, BẢO LỘC, LÂM ĐỒNG",165.0,5.0,30303.030303030304
Hồ Chí Minh,Quận 7,,,Cho thuê mặt bằng kinh doanh đường D4 KDC Jamona City DT:5x10m Giá 7tr/tháng,50.0,7.0,140000.0
Hà Nội,Cầu Giấy,,,"Cho thuê cửa hàng MBKD tầng 1 55m2 mặt tiền 5,5m ngã 4 Hoàng Quốc Việt, Nguyễn Phong Sắc, Trần Cung",55.0,9.0,163636.36363636365
Hà Nội,Thanh Trì,,,"Cho thuê cửa hàng tại Thanh Liệt, đường Kim Giang, DT 22m2, mặt ngã 3 ô tô vào thoải mái",22.0,8.0,363636.36363636365
Hà Nội,Cầu Giấy,,,"Sang nhượng cửa hàng thời trang 55m2, mặt tiền 5m, tại ngã 4 số 146 Hoàng Quốc Việt, chỉ 18.9 tr/th",55.0,9.0,163636.36363636365
Hồ Chí Minh,Tân Phú,,,"Cho thuê gấp mặt bằng kinh doanh, kiot làm kho, bán online.",18.0,1.0,55555.555555555555
Hà Nội,Cầu Giấy,,,"Cho thuê MBKD, cửa hàng tầng 1 50m2 mặt tiền 5.5m ngã 4 Nguyễn Khánh Toàn, Quan Hoa LH 0964.05.2828",50.0,19.0,380000.0
Hà Nội,Đống Đa,,,"Cho thuê mặt bằng KD phố Láng Hạ, 105m2 thông sàn, mặt tiền 6.7m gần ngã 4 (45tr)",105.0,45.0,428571.4285714286
Hà Nội,Long Biên,,,Chuyển nhượng Spa gần khu hàng không Gia Thụy,200.0,10.0,50000.0
Bà Rịa Vũng Tàu,Bà Rịa,,,EM NHƯỢNG LẠI SPA NẰM TRÊN CON ĐƯỜNG ĐẸP TỈNH LỘ 52 HOÀ LONG TP BÀ RỊA,72.0,5.0,69444.44444444444
Hà Nội,Bắc Từ Liêm,,,Chính chủ cho thuê lâu dài lô shophouse tầng 1 + gác lửng tại A6-09 An Bình City,75.0,32.0,426666.6666666667
Hồ Chí Minh,Quận 9,,,"HOT! CHO THUÊ SHOPHOUSE SAFIRA KHANG ĐIỀN, 160M2, 19 TRIỆU",160.0,19.0,118750.0
Hà Nội,Nam Từ Liêm,,,"Cho thuê cửa hàng, ki ốt tại Dự án The Manor - Hà Nội, Nam Từ Liêm, Hà Nội diện tích 90m2 giá 60",90.0,60.0,666666.6666666666
Hồ Chí Minh,Quận 7,,,"Cho thuê shophouse khu căn hộ Eco Green, Nguyễn Văn Linh,Quận 7 giá cho thuê từ 55 triệu/tháng",240.0,55.0,229166.66666666666
Hà Nội,Đống Đa,,,"CHO THUÊ CỬA HÀNG KINH DOANH KHÔNG GIỚI HẠN GIÁ 17TR QUANG TRUNG, ĐỐNG ĐA, HÀ NỘI",70.0,17.0,242857.14285714287
Hồ Chí Minh,Quận 10,,,"[Quận 10] Cần sang gấp tiệm bánh mì, vị trí thuận lợi, vào kinh doanh ngay 6tr/ tháng",5.0,6.0,1200000.0
Quảng Ngãi,Bình Sơn,,,Cho Thuê Mặt Bằng Tại Huyện Bình Sơn Đang Kinh Doanh Tốt.,250.0,10.0,40000.0
Hà Nội,Long Biên,,,Cho thuê Kiot dt 50m tầng 1 đường Mai Chí Thọ Giang Biên giá chỉ 8 triệu/tháng,50.0,8.0,160000.0
Đắk Lắk,Buôn Ma Thuột,,,Cho thuê Quán 2000m2 quán cà phê thuộc khu du lịch AkoDhong giá chỉ 15tr/ tháng,2000.0,15.0,7500.0
Hồ Chí Minh,Hóc Môn,,,"SANG KHU VUI CHƠI TRẺ EM+CAFE GIÁ RẺ TRUNG TÂM ĐƯỜNG TÔ KÝ, XÃ THỚI TAM THÔN, HUYỆN HÓC MÔN",120.0,20.0,166666.66666666666
Hà Nội,Gia Lâm,,,"Mr. Lành cho thuê shophouse 2 mặt tiền, 5 tầng 156m2 giá 20 triệu dự án Vinhomes Ocean Park Gia Lâm",156.0,20.0,128205.1282051282
Hồ Chí Minh,Quận 9,,,"HOT! CHO THUÊ SHOPHOUSE SAFIRA KHANG ĐIỀN, 2 TẦNG, 160M2, HOÀN THIỆN, 22 TRIỆU",160.0,22.0,137500.0
Đồng Nai,Biên Hòa,,,Sang quán hơn 1100m2 P.Tân Tiến sang 600tr gía thuê 14tr/th hợp đồng còn lâu dài giá tốt,1550.0,14.0,9032.258064516129
Bà Rịa Vũng Tàu,Vũng Tàu,,,Chính chủ cho thuê mặt bằng kinh doanh .Tầng 2 (nhà 5 tầng ),170.0,10.0,58823.529411764706
Đà Nẵng,Sơn Trà,,,CHO THUÊ MẶT BẰNG TỔ CHỨC SỰ KIỆN VÀO CUỐI TUẦN NGAY TRUNG TÂM TP. ĐÀ NẴNG,200.0,3.0,15000.0
Đồng Nai,Biên Hòa,,,Cho thuê mặt bằng đường lớn gần công viên Biên Hùng,90.0,24.999999999999996,277777.77777777775
Đồng Nai,Biên Hòa,,,Cho thuê mặt bằng đường Đồng Khởi gần bv đa khoa Đồng Nai,100.0,15.0,150000.0
Đồng Nai,Biên Hòa,,,"Cho thuê mặt bằng đường Đồng Khởi, đối diện ĐH Đồng Nai 600m2 ngang 11m giá 80 triệu/tháng",600.0,80.0,133333.33333333334
Đồng Nai,Biên Hòa,,,"CẦN SANG NHƯỢNG GẤP MẶT BẰNG 2 MẶT TIỀN FULL ĐỒ Ở BIÊN HÒA, ĐỒNG NAI.",325.0,12.0,36923.07692307692
Hà Nội,Long Biên,,,"Cho thuê nhà Hoàng Như Tiếp 140M sát cụm CC mở quán ăn, giặt là...",140.0,16.0,114285.71428571429
Hồ Chí Minh,Thủ Đức,,,"CẦN SANG GARA XE HOẶC MẶT BẰNG Đường Số 3, Phường Trường Thọ (Quận Thủ Đức cũ)",260.0,19.0,73076.92307692308
Hồ Chí Minh,Quận 9,,,"* Cho thuê mặt bằng*100m2 Đỗ Xuân Hợp, P. Phước Long A, Quận 9",100.0,50.0,500000.0
Hà Nội,Gia Lâm,,,"Sang nhượng nhà hàng lẩu Trâu Quỳ, Gia Lâm, HN. Cạnh HV Nông Nghiệp",90.0,43.0,477777.77777777775
Hồ Chí Minh,Quận 9,,,"* Cho thuê mặt bằng*350m2 góc 2 mặt tiền Đỗ Xuân Hợp, P. Phước Long A, Quận 9, TP Thủ Đức",350.0,70.0,200000.0
Hà Nội,Đống Đa,,,"Chính chủ cho thuê mặt bằng KD 70m2 giá rẻ, số 94 phố Nguyễn Hy Quang, Đống Đa, KM đến 36 triệu",70.0,16.0,228571.42857142858
Hồ Chí Minh,Quận 5,,,Chính chủ Cho thuê Mặt Tiền Nguyễn Trãi Q.5,120.0,25.0,208333.33333333334
Hà Nội,Long Biên,,,"Cho thuê MB 250M Ngọc Lâm ô tô tránh vỉa hè làm xưởng DV, mở quán bia",250.0,25.0,100000.0
Đồng Nai,Trảng Bom,,,Cần Sang Quán Cơm Ngay Mặt Tiền Đường,200.0,5.0,25000.0
Hồ Chí Minh,Bình Thạnh,,,"Cho thuê mặt bằng KD, mặt tiền đường 16m số 62L/28 Nguyên Hồng, P11, Bình Thạnh",64.0,9.0,140625.0
