City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Khánh Hòa,Nha Trang,,,"Nha Trang, Khánh Hòa",100.0,15.0,150000.0
Hải Phòng,Quận Ngô Quyền,Phường Đông Khê,Lô 22 Lê Hồng Phong,"lô 3e, Đường Lê Hồng Phong, Ngô Quyền, Hải Phòng",60.0,5.0,83333.33333333333
Hải Phòng,Quận Hải An,Phường Đông Hải 1,Đường Hoàng Thế Thiện,"Đường Hoàng Thế Thiện, Hải An, Hải Phòng",90.0,20.0,222222.22222222222
Hải Phòng,Quận Lê Chân,,,"Lê Chân, Hải Phòng",24.0,20.0,833333.3333333334
Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Bắc,Đường Lương Thế Vinh,"Đường Lương Thế Vinh, Thanh Xuân, Hà Nội",73.0,12.0,164383.56164383562
Hà Nội,Quận Hà Đông,,Đường Quang Trung,"Đường Quang Trung, Hà Đông, Hà Nội",200.0,40.0,200000.0
Hà Nội,Quận Bắc Từ Liêm,,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội",100.0,25.0,250000.0
Khánh Hòa,Nha Trang,,Đường Hồng Bàng,"Đường Hồng Bàng, Nha Trang, Khánh Hòa",608.0,39.99999999999999,65789.47368421052
Hà Nội,Quận Đống Đa,Phường Nam Đồng,Phố Nguyễn Lương Bằng,"Đường Nguyễn Lương Bằng, Đống Đa, Hà Nội",67.0,18.0,268656.7164179105
Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,"Đường Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",30.0,14.0,466666.6666666667
Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Ngách 46/38 Nguyễn Hoàng Tôn,"Đường Nguyễn Hoàng Tôn, Tây Hồ, Hà Nội",170.0,55.0,323529.4117647059
Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Ngách 46/38 Nguyễn Hoàng Tôn,"Đường Nguyễn Hoàng Tôn, Tây Hồ, Hà Nội",170.0,55.0,323529.4117647059
Hà Nội,Quận Bắc Từ Liêm,,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội",115.0,30.0,260869.5652173913
Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,"Đường Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",30.0,12.0,400000.0
Hải Phòng,Quận Lê Chân,Phường Dư Hàng,Ngõ 23 Chùa Hàng,"Chùa Hàng, Đường Chùa Hàng, Lê Chân, Hải Phòng",50.0,10.0,200000.0
Hải Phòng,Quận Ngô Quyền,Phường Đằng Giang,Phố Văn Cao,"193, Đường 193 Văn Cao, Ngô Quyền, Hải Phòng",63.0,15.0,238095.2380952381
Hải Phòng,Quận Ngô Quyền,Phường Đông Khê,Đường Lê Hồng Phong,"lô 22, Đường Lê Hồng Phong, Ngô Quyền, Hải Phòng",60.0,6.0,100000.0
Hải Phòng,Quận Ngô Quyền,Phường Đông Khê,Đường Lê Hồng Phong,"lô 22, Đường Lê Hồng Phong, Ngô Quyền, Hải Phòng",60.0,11.0,183333.33333333334
Hải Phòng,Quận Ngô Quyền,Phường Đông Khê,Đường Lê Hồng Phong,"lô 22, Đường Lê Hồng Phong, Ngô Quyền, Hải Phòng",120.0,13.0,108333.33333333333
Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,"Đường Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",30.0,14.0,466666.6666666667
Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,"Đường Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",30.0,14.0,466666.6666666667
Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,"Đường Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",30.0,14.0,466666.6666666667
Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,"Đường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",60.0,19.0,316666.6666666667
Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,"Đường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",60.0,19.0,316666.6666666667
Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Ngách 46/38 Nguyễn Hoàng Tôn,"Đường Nguyễn Hoàng Tôn, Tây Hồ, Hà Nội",170.0,55.0,323529.4117647059
Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,"Đường Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",30.0,14.0,466666.6666666667
Hải Phòng,Quận Lê Chân,Phường Dư Hàng,Ngõ 23 Chùa Hàng,"Chùa Hàng, Đường Chùa Hàng, Lê Chân, Hải Phòng",50.0,10.0,200000.0
Hải Phòng,Quận Hồng Bàng,Phường Hạ Lý,Phố Phan Đình Phùng,"Đường Phan Đình Phùng, Hồng Bàng, Hải Phòng",55.0,7.999999999999999,145454.54545454544
Khánh Hòa,Nha Trang,,Đường Phan Chu Trinh,"Đường Phan Chu Trinh, Nha Trang, Khánh Hòa",200.0,35.0,175000.0
Khánh Hòa,Nha Trang,,,"79, Nha Trang, Khánh Hòa",65.0,5.0,76923.07692307692
Hà Nội,Quận Nam Từ Liêm,Phường Phú Đô,Đường Phú Đô,"Đường Phú Đô, Nam Từ Liêm, Hà Nội",50.0,18.0,360000.0
Hà Nội,Quận Thanh Xuân,,Đường Khương Đình,"Đường Khương Hạ, Thanh Xuân, Hà Nội",40.0,14.0,350000.0
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,"Hoàng quốc việt, Đường Hoàng Quốc Việt, Cầu Giấy, Hà Nội",70.0,25.0,357142.85714285716
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Đường Yên Hòa,"yên hòa, Đường Yên Hòa, Cầu Giấy, Hà Nội",50.0,5.0,100000.0
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Đường Đê La Thành,"100, Đường Đê La Thành, Ba Đình, Hà Nội",100.0,78.0,780000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Đường Trần Quốc Hoàn,"40, Đường Trần Quốc Hoàn, Cầu Giấy, Hà Nội",55.0,19.0,345454.54545454547
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Đỗ Quang,"01, Đường Đỗ Quang, Cầu Giấy, Hà Nội",100.0,40.0,400000.0
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,Đường Trần Cung,"Đường Trần Cung, Cầu Giấy, Hà Nội",70.0,40.0,571428.5714285715
Hà Nội,Quận Đống Đa,Phường Khương Thượng,Đường Tam Khương,"43, Đường Tam Khương, Đống Đa, Hà Nội",75.0,26.0,346666.6666666667
Hà Nội,Quận Thanh Xuân,,Đường Khương Đình,"Đường Khương Hạ, Thanh Xuân, Hà Nội",40.0,14.0,350000.0
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Đường Yên Hòa,"yên hòa, Đường Yên Hòa, Cầu Giấy, Hà Nội",50.0,5.0,100000.0
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,"Hoàng quốc việt, Đường Hoàng Quốc Việt, Cầu Giấy, Hà Nội",70.0,25.0,357142.85714285716
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Đường Trần Quốc Hoàn,"40, Đường Trần Quốc Hoàn, Cầu Giấy, Hà Nội",55.0,19.0,345454.54545454547
Hồ Chí Minh,Quận 1,,Đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",72.0,50.0,694444.4444444445
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Lê Thị Riêng,"Đường Lê Thị Riêng, Quận 1, Hồ Chí Minh",54.0,50.0,925925.925925926
Hồ Chí Minh,Quận 1,,Đường Nguyễn Thị Minh Khai,"Đường Nguyễn Thị Minh Khai, Quận 1, Hồ Chí Minh",72.0,70.0,972222.2222222222
Hồ Chí Minh,Quận 1,,Đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",72.0,50.0,694444.4444444445
Hồ Chí Minh,Quận 1,,Đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",72.0,50.0,694444.4444444445
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Lê Thị Riêng,"Đường Lê Thị Riêng, Quận 1, Hồ Chí Minh",54.0,50.0,925925.925925926
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Lê Thị Riêng,"Đường Lê Thị Riêng, Quận 1, Hồ Chí Minh",54.0,50.0,925925.925925926
