Title,Price,Area,Location,type
***Cho thuê MT đường Trần Quang Khải***,125 triệu /tháng,80m2,"Đường Trần Quang Khải, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Tình hình dịch thuyên giảm , nhịp sống đang trở lại , anh chị đang có ý định kinh doanh , nhu cầu mặt bằng đẹp giá cả phải chăng thì đây là 1 trong những lựa chọn hàng đầuDT: 4,7m x 16m,...",110 triệu /tháng,100m2,"Đường Đề Thám, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
***Cho thuê tòa nhà Đường Đề Thám .P Cô Giang -Quận 1.**.,75 triệu /tháng,100m2,"Đường An Dương Vương, Quận 5, Hồ Chí Minh",cho_thue_cua_hang
***Cho thuê tòa nhà Đường Đề Thám .P Cô Giang -Quận 1.**.- Dt: 5x20m- Kc: 7 tầng + 18pn + wc mỗi phòng . - Giá: 110 tr -Thích hợp kinh doanh mọi ngành nghề,100 triệu /tháng,90m2,"Đường 3/2, Quận 11, Hồ Chí Minh",cho_thue_cua_hang
Cho thuê nhà nguyên căn liền kề 333-335 An Dương Vương P3 Quận 5.,150 triệu /tháng,56m2,"Đường Đông Du, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
***Cho thuê nhà nguyên căn liền kề 333-335 An Dương Vương P3 Quận 5.***Dt : 5x20KC : trệt lửng 1.5 lầuGiá 75tr -Thích hợp kinh doanh mọi ngành nghề .-Không kinh doanh ngành nghề nhạy cảm.,450 triệu /tháng,988m2,"Đường Cách Mạng Tháng 8, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Cho thuê tòa nhà nguyên căn đường 3/2, Q.10.",70 triệu /tháng,160m2,"Đường Phan Văn Trị, Bình Thạnh, Hồ Chí Minh",cho_thue_cua_hang
"***Cho thuê nhà nguyên căn đường 3/2, Q.10 ***-Diện tích: 5x18m-Kết cấu:Trệt, lửng 4 lâu thang máy cầu thang giữa nhà.-Thích hợp kinh doanh mọi ngành nghề spa, văn phòng ,.....",135 triệu /tháng,86m2,"Quận 3, Hồ Chí Minh",cho_thue_cua_hang
"Cho thuê nhà mặt tiền đường Đông Du,Quận 1.",65 triệu /tháng,44m2,"Đường Trần Quang Khải, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"- Cho thuê nhà mặt tiền đường 23 Đông Du, P Bến Nghé Quận 1.+ Diện tích Ngang 4m dài 14m.+ - kết cáu Hiện trạng trệt 2 lầu.+ Giá thuê 150triệu/tháng.",135 triệu /tháng,86m2,"Đường Hồ Xuân Hương, Quận 3, Hồ Chí Minh",cho_thue_cua_hang
Cho thuê nhà nguyên căn góc 2MT đường CMT8 và NTMK,40 triệu /tháng,64m2,"Đường Hoa Lan, Phú Nhuận, Hồ Chí Minh",cho_thue_cua_hang
"Cho thuê nhà nguyên căn góc 2MT đường CMT8 và NTMK.-Dt: 30 x 36m.-Thích hợp kinh doanh mọi ngành nghề .-Khu vực sầm uất , nằm ngay trung tâm tuyến đường thương hiệu.",135 triệu /tháng,128m2,"Đường Phan Xích Long, Phú Nhuận, Hồ Chí Minh",cho_thue_cua_hang
Cho biệt thự MT Phan Văn Trị. S: 8*20m. Có 6PN. Giá: 70 tr/th.,195 triệu /tháng,120m2,"Đường Nguyễn Công Trứ, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Cho biệt thự MT Phan Văn Trị. S: 8*20m. Có 6PN. Giá: 70 tr/th.- Diện tích: 8*20m- Hiện trạng: Trệt, 2 lầu (6PN)- Vị trí, tiện ích:Ngang lớn nâng cao thương hiệu cực mạnhPhù hợp kinh doanh đa ngành nghề...",180 triệu /tháng,68m2,"Đường Hàm Nghi, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Cho Thuê nhà MT Hồ Xuân Hương. Ngang 6,6m. Giá: 135tr",480 triệu /tháng,154m2,"Đường Nguyễn Công Trứ, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Cho thuê nhà MT Hồ Xuân Hương. Ngang lớn 6,6m. Giá: 135 tr/th (TL).- Diện tích: 6,6*13m- Hiện trạng: Trệt, 5 lầu (Thang máy)- Vị trí, tiện ích:Ngang lớn nâng cao thương hiệu cực mạnhPhù hợp kinh doanh đa ngành...",350 triệu /tháng,140m2,"Đường Lê Hồng Phong, Quận 5, Hồ Chí Minh",cho_thue_cua_hang
Cho thuê nhà nguyên căn đường Trần Quang Khải .,230 triệu /tháng,360m2,"Đường Cách Mạng Tháng Tám, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"***Cho thuê nhà nguyên căn đường Trần Quang Khải***.-DT:4 x 11m.-kết cấu : 1 trệt 4 lầu có thang máy.-Thích hợp kinh doanh mọi ngành nghề , spa, nha khoa , làm chdv,....-Nhà mới nằm ngay trục đường tín hiệu...",50 triệu /tháng,80m2,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Thuê nhà MT Hồ Xuân Hương. Ngang 6,6m. Giá: 135tr",200 triệu /tháng,250m2,"Đường Nguyễn Thị Thập, Quận 7, Hồ Chí Minh",cho_thue_cua_hang
"Cho thuê nhà MT Hồ Xuân Hương. Ngang lớn 6,6m. Giá: 135 tr/th (TL).- Diện tích: 6,6*13m- Hiện trạng: Trệt, 5 lầu (Thang máy)- Vị trí, tiện ích:Ngang lớn nâng cao thương hiệu cực mạnhPhù hợp kinh doanh đa ngành...",120 triệu /tháng,600m2,"Đường Lý Văn Phức, Quận 1, Hồ Chí Minh",cho_thue_cua_hang
"Cho thuê nhà nguyên căn đường Hoa Lan, P2, Q.Phú Nhuận.",,,,cho_thue_cua_hang
"Cho thuê nhà nguyên căn đường Hoa Lan, P2, Q.Phú Nhuận.-DT: 4x16m.-kết cấu : Trệt , 3 lầu.-Thích hợp kinh doanh mọi ngành nghề, khu vực sầm uất.-Thích hợp kinh spa , văn phòng,....",,,,cho_thue_cua_hang
"Cho thuê tòa nhà Phan Xích Long, P7, Phú Nhuận.",,,,cho_thue_cua_hang
"Cho Thuê Nhà Mặt Tiền 282 - 284 Phan Xích Long, Phường 2, Quận Phú Nhuận, TPHCM.- Diện tích: 8 x 16m.- Kết cấu: 1 hầm, 1 trệt, 1 lửng, 3 lầu, sân thượng.- Thang máy, thang bộ đầy đủ.-...",,,,cho_thue_cua_hang
"*Cho thuê nhà đường Nguyễn Công Trứ, P. NTB, Q1.*",,,,cho_thue_cua_hang
"*Cho thuê nhà đường Nguyễn Công Trứ, P. NTB, Q1.*DT: 4x30m.Kết cấu: 6 tầng.",,,,cho_thue_cua_hang
"***CHO THUÊ NHÀ MẶT TIỀN Hàm Nghi, Bến Nghé, Quận 1.***",,,,cho_thue_cua_hang
"***CHO THUÊ NHÀ MẶT TIỀN Hàm Nghi, Bến Nghé, Quận 1.***-Dt: 8 x 10 sàn 68m2-Kết cấu: Trệt, Lửng, Hầm, 5 Lầu sàn suốt-Thích hợp kinh doanh văn phòng , trung tâm anh ngữ,…………..",,,,cho_thue_cua_hang
"Cho thuê nguyên tòa Nguyễn Công Trứ, P Nguyễn Thái Bình,Quận 1",,,,cho_thue_cua_hang
"Cho thuê nguyên tòa Nguyễn Công Trứ, P Nguyễn Thái Bình,Quận 1 Diện tích: 8,1x19m Diện tích chính sử dụng làm VP: 1.000mm2 Kết cấu : Hầm 9 tầng Thời gian hợp đồng: 5-10 năm Trượt giá: 2 năm tăng 10%...",,,,cho_thue_cua_hang
"Cho thuê tòa nhà đường Lê Hồng Phong, P3, Quận 5.",,,,cho_thue_cua_hang
"***Cho thuê tòa nhà đường Lê Hồng Phong, P3, Quận 5.***-DT: 7x20m.-KC: Trệt lửng 9 lầu, có thang máy.-Thích hợp kinh doanh mọi ngành nghề spa, văn phòng , trung tâm anh ngữ ,.....-Giá thuê: 350tr (TL).",,,,cho_thue_cua_hang
CHO THUÊ NHÀ MT ĐƯỜNG NGUYỄN THỊ MINH KHAI 12x30.,,,,cho_thue_cua_hang
