Title,Price,Area,Location,type
CHO THUÊ NHÀ MẶT PHỐ TẠI VIỆT NAM,Giá: 75 triệu/tháng,Diện tích: 135 m²,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",nha_mat_pho
"CHO THUÊ NHÀ MẶT PHỐ HOÀNG QUỐC VIỆT, DT 135M2 X 3 TẦNG, MT RỘNG 8M, 75 TRIỆU/THÁNG. LH 0328199682.",Giá: Liên hệ,Diện tích: 320 m²,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",nha_mat_pho
"CHO THUÊ NHÀ 2 TẦNG, DIỆN TÍCH ĐẤT 320M2 ĐƯỜNG 13M TẠI VIỆT HƯNG, PHÙ HỢP LÀM VĂN PHÒNG, NHÀ HÀNG",Giá: Liên hệ,Diện tích: 86 m²,Tô Hiệu - Lê Chân - Hải Phòng,nha_mat_pho
CHO THUÊ NGUYÊN CĂN 5 TẦNG MẶT PHỐ TÔ HIỆU. ĐOẠN ĐẸP GẦN TRẠI CAU. VỈA HÈ RỘNG RÃI.,Giá: 35 triệu/tháng,Diện tích: 120 m²,"Đường Đồ Sơn, Phường 4, Tân Bình, Hồ Chí Minh",nha_mat_pho
"CHO THUÊ NHÀ MẶT TIỀN ĐỒ SƠN, TÂN BÌNH, GẦN SÂN BAY, DT 6X20M",Giá: 100 triệu,Diện tích: 150 m²,"Đường Hoàng Diệu, Phường 9, Quận 4, Hồ Chí Minh",nha_mat_pho
"CHO THUÊ NGUYÊN CĂN 165 - 167 HOÀNG DIỆU, NGANG 12X10. GẦN CẦU ÔNG LÃNH, Q1. CĂN NGANG LỚN DUY NHẤT",Giá: 80 triệu/tháng,Diện tích: 500 m²,"Đường Nguyễn Thị Huỳnh, Phường 8, Phú Nhuận, Hồ Chí Minh",nha_mat_pho
"CHO THUÊ CĂN NHÀ 20X25M ĐƯỜNG NGUYỄN THỊ HUỲNH, P8, PHÚ NHUẬN",Giá: 65 triệu/tháng,Diện tích: 50 m²,"Phố Chùa Bộc, Phường Trung Liệt, Đống Đa, Hà Nội",nha_mat_pho
"CHO THUÊ NHÀ MẶT PHỐ CHÙA BỘC, DÃY KD ĐẸP. DT 50M2 X 5 TẦNG, MT 4M, GIÁ THUÊ 65 TRIỆU/ THÁNG.","Giá: 1,3 tỷ",Diện tích: 404.7 m²,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",nha_mat_pho
"CHO THUÊ TÒA NHÀ 140 - 150 ĐƯỜNG BA THÁNG HAI, PHƯỜNG 12, QUẬN 10, DT SÀN 2.944M2",Giá: 135 triệu,Diện tích: 300 m²,"Đường Phan Đình Phùng, Phường Quán Thánh, Ba Đình, Hà Nội",nha_mat_pho
"CHO THUÊ NHÀ MẶT PHỐ PHAN ĐÌNH PHÙNG QUÁN THÁNH 100M X 3TẦNG, MT LÔ GÓC 20M, KD MỌI MÔ HÌNH GIÁ 1XX",Giá: 20 triệu/tháng,Diện tích: 95 m²,Đường Phúc Xá Phường Phúc Xá Quận Ba Đình Hà Nội,nha_mat_pho
